time,v(N001),v(N002),v(N004)
0.033928,5.0,5.0,0.702803114
0.034028,5.0,5.0,0.702803114
0.034128,5.0,5.0,0.702803114
0.034228,5.0,5.0,0.702803114
0.034328,5.0,5.0,0.702803114
0.034428,5.0,5.0,0.702803114
0.034528,5.0,5.0,0.702803114
0.034628,5.0,5.0,0.702803114
0.034728,5.0,5.0,0.702803114
0.034828,5.0,5.0,0.702803114
0.034928,5.0,5.0,0.702803114
0.035028,5.0,5.0,0.702803114
0.035128,5.0,5.0,0.702803114
0.035228,5.0,5.0,0.702803114
0.035328,5.0,5.0,0.702803114
0.035428,5.0,5.0,0.702803114
0.035528,5.0,5.0,0.702803114
0.035628,5.0,5.0,0.702803114
0.035728,5.0,5.0,0.702803114
0.035828,5.0,5.0,0.702803114
0.035928,5.0,5.0,0.702803114
0.036028,5.0,5.0,0.702803114
0.036128,5.0,5.0,0.702803114
0.036228,5.0,5.0,0.702803114
0.036328,5.0,5.0,0.702803114
0.036428,5.0,5.0,0.702803114
0.036528,5.0,5.0,0.702803114
0.036628,5.0,5.0,0.702803114
0.036728,5.0,5.0,0.702803114
0.036828,5.0,5.0,0.702803114
0.036928,5.0,5.0,0.702803114
0.037028,5.0,5.0,0.702803114
0.037128,5.0,5.0,0.702803114
0.037228,5.0,5.0,0.702803114
0.037328,5.0,5.0,0.702803114
0.037428,5.0,5.0,0.702803114
0.037528,5.0,5.0,0.702803114
0.037628,5.0,5.0,0.702803114
0.037728,5.0,5.0,0.702803114
0.037828,5.0,5.0,0.702803114
0.037928,5.0,5.0,0.702803114
0.038028,5.0,5.0,0.702803114
0.038128,5.0,5.0,0.702803114
0.038228,5.0,5.0,0.702803114
0.038328,5.0,5.0,0.702803114
0.038428,5.0,5.0,0.702803114
0.038528,5.0,5.0,0.702803114
0.038628,5.0,5.0,0.702803114
0.038728,5.0,5.0,0.702803114
0.038828,5.0,5.0,0.702803114
0.038928,5.0,5.0,0.702803114
0.039028,5.0,5.0,0.702803114
0.039128,5.0,5.0,0.702803114
0.039228,5.0,5.0,0.702803114
0.039328,5.0,5.0,0.702803114
0.039428,5.0,5.0,0.702803114
0.039528,5.0,5.0,0.702803114
0.039628,5.0,5.0,0.702803114
0.039728,5.0,5.0,0.702803114
0.039828,5.0,5.0,0.702803114
0.039914,5.0,5.0,0.702803114
0.04,5.0,5.0,0.702803114
