 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         @dled12_1[id]  
 1.85527607e-04  1.85527607e-04  4.83969263e-01  7.24098495e-01  9.00000000e+00  4.64409136e+00  8.50604338e+00  7.08240482e-01  7.79784308e-03 
 1.85674421e-04  1.85674421e-04  4.84594046e-01  7.24563144e-01  9.00000000e+00  4.83570204e+00  8.53408503e+00  7.08332894e-01  7.82575365e-03 
 1.85794735e-04  1.85794735e-04  4.85106603e-01  7.24943885e-01  9.00000000e+00  4.65433235e+00  8.50673450e+00  7.08242634e-01  7.79849187e-03 
 1.85908870e-04  1.85908870e-04  4.85592216e-01  7.25305037e-01  9.00000000e+00  4.82582075e+00  8.53343524e+00  7.08330899e-01  7.82514980e-03 
 1.85997655e-04  1.85997655e-04  4.85970455e-01  7.25585954e-01  9.00000000e+00  4.66612331e+00  8.50759059e+00  7.08245464e-01  7.79934513e-03 
 1.86063622e-04  1.86063622e-04  4.86251022e-01  7.25794662e-01  9.00000000e+00  4.81235350e+00  8.53226558e+00  7.08326895e-01  7.82393869e-03 
 1.86099539e-04  1.86099539e-04  4.86404133e-01  7.25908293e-01  9.00000000e+00  4.68608357e+00  8.50921590e+00  7.08250836e-01  7.80096506e-03 
 1.86114099e-04  1.86114099e-04  4.86465951e-01  7.25954355e-01  9.00000000e+00  4.77844151e+00  8.52915148e+00  7.08316632e-01  7.82083486e-03 
 1.86116988e-04  1.86116988e-04  4.86478302e-01  7.25963493e-01  9.00000000e+00  4.74645275e+00  8.51712424e+00  7.08276957e-01  7.80884730e-03 
 1.86117223e-04  1.86117223e-04  4.86479304e-01  7.25964237e-01  9.00000000e+00  4.74602717e+00  8.51834179e+00  7.08280978e-01  7.81006153e-03 
 1.86117442e-04  1.86117442e-04  4.86480238e-01  7.25964931e-01  9.00000000e+00  4.74567997e+00  8.51902465e+00  7.08283230e-01  7.81074144e-03 
 1.86117752e-04  1.86117752e-04  4.86481558e-01  7.25965911e-01  9.00000000e+00  4.74526078e+00  8.51958053e+00  7.08285064e-01  7.81129549e-03 
 1.86118372e-04  1.86118372e-04  4.86484196e-01  7.25967871e-01  9.00000000e+00  4.74462128e+00  8.52004483e+00  7.08286597e-01  7.81175825e-03 
 1.86119611e-04  1.86119611e-04  4.86489473e-01  7.25971792e-01  9.00000000e+00  4.74386935e+00  8.52022558e+00  7.08287193e-01  7.81193839e-03 
 1.86122090e-04  1.86122090e-04  4.86500025e-01  7.25979634e-01  9.00000000e+00  4.74333863e+00  8.52024540e+00  7.08287259e-01  7.81195814e-03 
 1.86124437e-04  1.86124437e-04  4.86510017e-01  7.25987059e-01  9.00000000e+00  4.74326835e+00  8.52025285e+00  7.08287283e-01  7.81196556e-03 
 1.86128167e-04  1.86128167e-04  4.86525896e-01  7.25998861e-01  9.00000000e+00  4.74325850e+00  8.52024813e+00  7.08287268e-01  7.81196086e-03 
 1.86134268e-04  1.86134268e-04  4.86551863e-01  7.26018159e-01  9.00000000e+00  4.74327257e+00  8.52025131e+00  7.08287278e-01  7.81196403e-03 
 1.86146468e-04  1.86146468e-04  4.86603797e-01  7.26056756e-01  9.00000000e+00  4.74329814e+00  8.52024874e+00  7.08287270e-01  7.81196147e-03 
 1.86170869e-04  1.86170869e-04  4.86707664e-01  7.26133949e-01  9.00000000e+00  4.74335034e+00  8.52025105e+00  7.08287277e-01  7.81196378e-03 
 1.86219671e-04  1.86219671e-04  4.86915395e-01  7.26288331e-01  9.00000000e+00  4.74345399e+00  8.52024886e+00  7.08287270e-01  7.81196159e-03 
 1.86317276e-04  1.86317276e-04  4.87330840e-01  7.26597076e-01  9.00000000e+00  4.74366191e+00  8.52025100e+00  7.08287277e-01  7.81196372e-03 
 1.86512484e-04  1.86512484e-04  4.88161671e-01  7.27214495e-01  9.00000000e+00  4.74407714e+00  8.52024889e+00  7.08287270e-01  7.81196162e-03 
 1.86902902e-04  1.86902902e-04  4.89823088e-01  7.28449051e-01  9.00000000e+00  4.74490803e+00  8.52025099e+00  7.08287277e-01  7.81196371e-03 
 1.87683736e-04  1.87683736e-04  4.93144951e-01  7.30917033e-01  9.00000000e+00  4.74656878e+00  8.52024889e+00  7.08287270e-01  7.81196162e-03 
 1.89245405e-04  1.89245405e-04  4.99784787e-01  7.35848481e-01  9.00000000e+00  4.74988888e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 1.92368744e-04  1.92368744e-04  5.13048916e-01  7.45693352e-01  9.00000000e+00  4.75652078e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 1.96086084e-04  1.96086084e-04  5.28808670e-01  7.57379303e-01  9.00000000e+00  4.76440084e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 2.01086084e-04  2.01086084e-04  5.49960148e-01  7.73044149e-01  9.00000000e+00  4.77497641e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 2.06086084e-04  2.06086084e-04  5.71058813e-01  7.88648113e-01  9.00000000e+00  4.78552593e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 2.11086084e-04  2.11086084e-04  5.92104795e-01  8.04191515e-01  9.00000000e+00  4.79604876e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 2.16086084e-04  2.16086084e-04  6.13098228e-01  8.19674658e-01  9.00000000e+00  4.80654566e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 2.21086084e-04  2.21086084e-04  6.34039244e-01  8.35097860e-01  9.00000000e+00  4.81701600e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 2.26086084e-04  2.26086084e-04  6.54927973e-01  8.50461451e-01  9.00000000e+00  4.82746055e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 2.31086084e-04  2.31086084e-04  6.75764545e-01  8.65765742e-01  9.00000000e+00  4.83787868e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 2.36086084e-04  2.36086084e-04  6.96549092e-01  8.81011041e-01  9.00000000e+00  4.84827113e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 2.41086084e-04  2.41086084e-04  7.17281743e-01  8.96197654e-01  9.00000000e+00  4.85863730e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 2.46086084e-04  2.46086084e-04  7.37962627e-01  9.11325885e-01  9.00000000e+00  4.86897792e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
 2.51086084e-04  2.51086084e-04  7.58591875e-01  9.26396034e-01  9.00000000e+00  4.87929238e+00  8.52024890e+00  7.08287270e-01  7.81196163e-03 
 2.56086084e-04  2.56086084e-04  7.79169614e-01  9.41408402e-01  9.00000000e+00  4.88958144e+00  8.52025098e+00  7.08287277e-01  7.81196370e-03 
