time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.0863414339,1.15730584,0.0,0.0381367034,0.620027145,0.0150438033,-4.58476731e-14
0.0868414339,1.14887354,0.0,0.0379244499,0.619413759,0.0148248739,-4.5616558e-14
0.0873414339,1.14052213,0.0,0.0376987309,0.618811081,0.0146079092,-4.53706103e-14
0.0878414339,1.13225079,0.0,0.0374911617,0.618198815,0.0143934552,-4.51442825e-14
0.0883414339,1.12405873,0.0,0.037269662,0.617597413,0.0141809168,-4.49025984e-14
0.0888414339,1.11594517,0.0,0.0370667013,0.616986058,0.0139708551,-4.46809904e-14
0.0893414339,1.10790933,0.0,0.0368493302,0.616385731,0.0137626606,-4.44434851e-14
0.0898414339,1.09995043,0.0,0.0366509044,0.615775075,0.0135569099,-4.42265316e-14
0.0903414339,1.09206771,0.0,0.0364375727,0.615175617,0.0133529787,-4.39931212e-14
0.0908414339,1.08426043,0.0,0.0362436104,0.614565444,0.0131514595,-4.3780759e-14
0.0913414339,1.07652782,0.0,0.0360342303,0.613966645,0.0129517127,-4.35513609e-14
0.0918414339,1.06886914,0.0,0.0358446625,0.613356733,0.0127543474,-4.33435288e-14
0.0923414339,1.06128366,0.0,0.0356391473,0.61275838,0.0125587079,-4.31180612e-14
0.0928414339,1.05377066,0.0,0.0354539068,0.612148502,0.0123654204,-4.29147003e-14
0.0933414339,1.04632941,0.0,0.0352521712,0.611550378,0.0121738128,-4.26930825e-14
0.0938414339,1.03895919,0.0,0.0350711934,0.610940302,0.0119845288,-4.24941358e-14
0.0943414339,1.0316593,0.0,0.0348731531,0.610342182,0.0117968794,-4.2276288e-14
0.0948414339,1.02442905,0.0,0.0346963754,0.60973167,0.0116115265,-4.20817009e-14
0.0953414339,1.01726772,0.0,0.0345019473,0.609133326,0.0114277631,-4.1867544e-14
0.0958414339,1.01017465,0.0,0.0343293096,0.608522135,0.0112462704,-4.1677264e-14
0.0963414339,1.00314915,0.0,0.0341384115,0.60792333,0.0110663228,-4.14667198e-14
0.0968414339,0.996190534,0.0,0.0339698558,0.607311209,0.0108886211,-4.12806965e-14
