time,v(N001),v(N002),v(N003),v(N004),v(N005),@dled12_1[id]
0.216317351,2.55688966,5.0,5.1207063,2.55689895,2.49999996,-1.30574039e-13
0.216817351,2.56907474,5.0,5.1311378,2.56904959,2.5000001,-1.41034657e-13
0.217317351,2.58119905,5.0,5.14156375,2.58120825,2.49999996,-1.51481765e-13
0.217817351,2.59326289,5.0,5.15184125,2.59323781,2.5000001,-1.61774809e-13
0.218317351,2.60526656,5.0,5.1620987,2.60527565,2.49999996,-1.72044092e-13
0.218817351,2.61721036,5.0,5.17218554,2.61718534,2.5000001,-1.82139977e-13
0.219317351,2.62909459,5.0,5.18221627,2.62910355,2.49999996,-1.9217782e-13
0.219817351,2.64091955,5.0,5.19202013,2.64089453,2.5000001,-2.01987273e-13
0.220317351,2.65268553,5.0,5.20167816,2.65269428,2.49999996,-2.11649805e-13
0.220817351,2.66439283,5.0,5.21097007,2.66436771,2.5000001,-2.20945294e-13
0.221317351,2.67604174,5.0,5.21989805,2.67605011,2.49999996,-2.29876177e-13
0.221817351,2.68763255,5.0,5.22812125,2.68760708,2.5000001,-2.38101655e-13
0.222317351,2.69916555,5.0,5.2354539,2.69917315,2.49999997,-2.45436079e-13
0.222817351,2.71064102,5.0,5.24126811,2.71061462,2.50000011,-2.51251549e-13
0.223317351,2.72205926,5.0,5.24493413,2.72206521,2.49999997,-2.54918304e-13
0.223817351,2.73342056,5.0,5.24514837,2.73339185,2.50000012,-2.55132581e-13
0.224317351,2.74472518,5.0,5.24024583,2.74472739,2.49999999,-2.50229058e-13
0.224817351,2.75597342,5.0,5.22735558,2.75593925,2.50000014,-2.37335789e-13
