 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N009)         v(N010)         @ddiode7_1[id] 
 9.22800000e-05  9.22800000e-05 -4.41528574e-25  9.00000000e+00  6.28695941e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.63553267e-12  5.28244115e-13  2.92432745e-27 
 9.32800000e-05  9.32800000e-05  9.23365206e-26  9.00000000e+00  5.57161064e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  5.92355282e-12  4.70290473e-13  2.92432745e-27 
 9.42800000e-05  9.42800000e-05  3.22462214e-25  9.00000000e+00  5.90574548e-12 -2.10942375e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.26094827e-12  4.97601960e-13  2.92432745e-27 
 9.52800000e-05  9.52800000e-05 -4.34693097e-25  9.00000000e+00  5.71787912e-12 -2.16493490e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  6.07638408e-12  4.82502927e-13  3.00204306e-27 
 9.62800000e-05  9.62800000e-05 -1.20578634e-26  9.00000000e+00  9.21059294e-12 -2.38697950e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.57333894e-12  7.66497976e-13  3.31068506e-27 
 9.72800000e-05  9.72800000e-05  2.07960002e-25  9.00000000e+00  6.74823193e-12 -2.60902411e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  7.11551168e-12  5.66657832e-13  3.61710661e-27 
 9.82800000e-05  9.82800000e-05 -3.08609693e-25  9.00000000e+00  9.53836414e-12 -2.66453526e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.91027077e-12  7.93587418e-13  3.69482223e-27 
 9.92800000e-05  9.92800000e-05  5.76735700e-26  9.00000000e+00  1.00459845e-11 -2.77555756e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.04234549e-11  8.35109759e-13  3.84803300e-27 
 1.00280000e-04  1.00280000e-04  2.05761205e-25  9.00000000e+00  9.67906613e-12 -2.83106871e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.00621402e-11  8.05577827e-13  3.92574862e-27 
 1.01280000e-04  1.01280000e-04 -2.40225015e-25  9.00000000e+00  1.01866373e-11 -2.72004641e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.05753550e-11  8.47100168e-13  3.77253784e-27 
 1.02280000e-04  1.02280000e-04  5.61667029e-26  9.00000000e+00  9.46719287e-12 -2.66453526e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  9.86149408e-12  7.88924481e-13  3.69482223e-27 
 1.03280000e-04  1.03280000e-04  1.39280406e-25  9.00000000e+00  9.79996586e-12 -2.83106871e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.01997407e-11  8.16235968e-13  3.92574862e-27 
 1.04280000e-04  1.04280000e-04 -3.06951304e-25  9.00000000e+00  1.01326225e-11 -2.99760217e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.05380600e-11  8.43547454e-13  4.15667500e-27 
 1.05280000e-04  1.05280000e-04  2.31940359e-26  9.00000000e+00  1.02902906e-11 -3.10862447e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.07015301e-11  8.56648086e-13  4.30988578e-27 
 1.06280000e-04  1.06280000e-04  1.56220950e-25  9.00000000e+00  1.06227759e-11 -3.21964677e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.10399565e-11  8.83959572e-13  4.46531701e-27 
 1.07280000e-04  1.07280000e-04 -2.82027443e-25  9.00000000e+00  1.07830050e-11 -3.33066907e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.12062669e-11  8.97282249e-13  4.61852778e-27 
 1.08280000e-04  1.08280000e-04  7.76437600e-26  9.00000000e+00  1.05907012e-11 -3.38618023e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.10200352e-11  8.81961171e-13  4.69624339e-27 
 1.09280000e-04  1.09280000e-04  1.95501013e-25  9.00000000e+00  1.07482092e-11 -3.33066907e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.11836053e-11  8.95061802e-13  4.61852778e-27 
 1.10280000e-04  1.10280000e-04 -2.68581077e-25  9.00000000e+00  1.03810453e-11 -3.38618023e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.08224441e-11  8.65529870e-13  4.69624339e-27 
 1.11280000e-04  1.11280000e-04  3.48035873e-27  9.00000000e+00  1.03637543e-11 -3.49720253e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.08110465e-11  8.64419647e-13  4.84945417e-27 
 1.12280000e-04  1.12280000e-04  1.66349352e-25  9.00000000e+00  1.05213416e-11 -3.55271368e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.09745671e-11  8.77520279e-13  4.92716978e-27 
 1.13280000e-04  1.13280000e-04 -2.53603671e-25  9.00000000e+00  1.10258860e-11 -3.71924713e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.14852328e-11  9.18820575e-13  5.15809617e-27 
 1.14280000e-04  1.14280000e-04 -7.14696527e-26  9.00000000e+00  1.17078586e-11 -3.99680289e-15  6.60106380e-01  1.28178949e+00  8.99999914e+00  1.21736638e-11  9.74553771e-13  5.54223334e-27 
