 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 1.79170001e-02  1.79170001e-02  5.00000000e+00  4.27380953e+00  4.27888427e+00  1.02407470e+00  5.94765572e-02 -1.62257706e+00  8.34718968e-01  1.56088311e-02  1.28280638e-02 
 1.89170001e-02  1.89170001e-02  5.00000000e+00  4.27394125e+00  4.27951727e+00  8.21227900e-01  8.10189829e-02 -1.53739843e+00  9.00705024e-01  1.55295438e-02  1.25179299e-02 
 1.99170001e-02  1.99170001e-02  5.00000000e+00  4.27381439e+00  4.28280249e+00  1.00338877e+00  6.02719783e-02 -1.49512544e+00  1.33224982e+00  1.56058997e-02  1.10248039e-02 
 2.09170001e-02  2.09170001e-02  5.00000000e+00  4.27394658e+00  4.28328536e+00  8.01949479e-01  8.18880778e-02 -1.41110016e+00  1.36216109e+00  1.55263461e-02  1.08208882e-02 
 2.19170001e-02  2.19170001e-02  5.00000000e+00  4.27382023e+00  4.28678385e+00  9.85471791e-01  6.12292934e-02 -1.36995496e+00  1.76032419e+00  1.56023742e-02  9.45192710e-03 
 2.29170001e-02  2.29170001e-02  5.00000000e+00  4.27395273e+00  4.28702950e+00  7.85251630e-01  8.28908667e-02 -1.28708915e+00  1.75924677e+00  1.55226557e-02  9.36258317e-03 
 2.39170001e-02  2.39170001e-02  5.00000000e+00  4.27382683e+00  4.29077291e+00  9.69957924e-01  6.23090970e-02 -1.24706087e+00  2.12873706e+00  1.55983980e-02  8.10103333e-03 
 2.49170001e-02  2.49170001e-02  5.00000000e+00  4.27395957e+00  4.29074414e+00  7.70789137e-01  8.40067724e-02 -1.16534194e+00  2.10103197e+00  1.55185488e-02  8.11005011e-03 
 2.59170001e-02  2.59170001e-02  5.00000000e+00  4.27383405e+00  4.29477011e+00  9.56525946e-01  6.34914747e-02 -1.12641928e+00  2.44589360e+00  1.55940444e-02  6.94103116e-03 
 2.69170001e-02  2.69170001e-02  5.00000000e+00  4.27396699e+00  4.29442452e+00  7.58263124e-01  8.52159488e-02 -1.04583482e+00  2.39530593e+00  1.55140984e-02  7.03439489e-03 
 2.79170001e-02  2.79170001e-02  5.00000000e+00  4.27384177e+00  4.29877586e+00  9.44897914e-01  6.47559889e-02 -1.00800730e+00  2.71901249e+00  1.55893887e-02  5.94516556e-03 
 2.89170001e-02  2.89170001e-02  5.00000000e+00  4.27397486e+00  4.29806507e+00  7.47414814e-01  8.64981147e-02 -9.28544941e-01  2.64875833e+00  1.55093791e-02  6.11080908e-03 
 2.99170001e-02  2.99170001e-02  5.00000000e+00  4.27384987e+00  4.30279030e+00  9.34833128e-01  6.60818857e-02 -8.91802778e-01  2.95429339e+00  1.55845072e-02  5.09047137e-03 
 3.09170001e-02  3.09170001e-02  5.00000000e+00  4.27398305e+00  4.30165934e+00  7.38019959e-01  8.78328967e-02 -8.13450004e-01  2.86713437e+00  1.55044661e-02  5.31799348e-03 
 3.19170001e-02  3.19170001e-02  5.00000000e+00  4.27385822e+00  4.30681313e+00  9.26122989e-01  6.74484682e-02 -7.77783941e-01  3.15706076e+00  1.55794762e-02  4.35723781e-03 
 3.29170001e-02  3.29170001e-02  5.00000000e+00  4.27399145e+00  4.30519989e+00  7.29884088e-01  8.92002286e-02 -7.00527812e-01  3.05536814e+00  1.54994331e-02  4.63766082e-03 
 3.39170001e-02  3.39170001e-02  5.00000000e+00  4.27386670e+00  4.31084339e+00  9.18586613e-01  6.88355092e-02 -6.65928970e-01  3.33188734e+00  1.55743702e-02  3.72854738e-03 
 3.49170001e-02  3.49170001e-02  5.00000000e+00  4.27399993e+00  4.30867819e+00  7.22838461e-01  9.05807747e-02 -5.89755869e-01  3.21769701e+00  1.54943513e-02  4.05410755e-03 
 3.59170001e-02  3.59170001e-02  5.00000000e+00  4.27387519e+00  4.31487924e+00  9.12067078e-01  7.02236784e-02 -5.56215581e-01  3.48270024e+00  1.55692602e-02  3.18987855e-03 
 3.69170001e-02  3.69170001e-02  5.00000000e+00  4.27400839e+00  4.31208462e+00  7.16736604e-01  9.19563527e-02 -4.81110963e-01  3.35776000e+00  1.54892877e-02  3.55384432e-03 
 3.79170001e-02  3.79170001e-02  5.00000000e+00  4.27388357e+00  4.31891765e+00  9.06428209e-01  7.15949589e-02 -4.48620620e-01  3.61287200e+00  1.55642125e-02  2.72876269e-03 
 3.89170001e-02  3.89170001e-02  5.00000000e+00  4.27401671e+00  4.31540844e+00  7.11451351e-01  9.33103253e-02 -3.74568790e-01  3.47868208e+00  1.54843036e-02  3.12527690e-03 
 3.99170001e-02  3.99170001e-02  5.00000000e+00  4.27389176e+00  4.32295403e+00  9.01551815e-01  7.29330296e-02 -3.43119701e-01  3.72529875e+00  1.55592874e-02  2.33448734e-03 
 4.09170001e-02  4.09170001e-02  5.00000000e+00  4.27402481e+00  4.31863796e+00  7.06872295e-01  9.46279389e-02 -2.70103639e-01  3.58314669e+00  1.54794532e-02  2.75842999e-03 
 4.19170001e-02  4.19170001e-02  5.00000000e+00  4.27389966e+00  4.32698187e+00  8.97335302e-01  7.42235897e-02 -2.39686913e-01  3.82246728e+00  1.55545373e-02  1.99783893e-03 
 4.29170001e-02  4.29170001e-02  5.00000000e+00  4.27403262e+00  4.32176079e+00  7.02903604e-01  9.58965824e-02 -1.67688166e-01  3.67345788e+00  1.54747831e-02  2.44470793e-03 
 4.39170001e-02  4.39170001e-02  5.00000000e+00  4.27390719e+00  4.33099245e+00  8.93689608e-01  7.54546060e-02 -1.38294598e-01  3.90651268e+00  1.55500066e-02  1.71087939e-03 
 4.49170001e-02  4.49170001e-02  5.00000000e+00  4.27404006e+00  4.32476426e+00  6.99462135e-01  9.71059508e-02 -6.72932591e-02  3.75159375e+00  1.54703312e-02  2.17668774e-03 
 4.59170001e-02  4.59170001e-02  5.00000000e+00  4.27391431e+00  4.33497453e+00  8.90537421e-01  7.66164681e-02 -3.89132326e-02  3.97926781e+00  1.55457307e-02  1.46675237e-03 
 4.69170001e-02  4.69170001e-02  5.00000000e+00  4.27404709e+00  4.32763608e+00  6.96475811e-01  9.82481024e-02  3.11119797e-02  3.81925233e+00  1.54661267e-02  1.94794116e-03 
