 time            time            v(N001)         v(N002)         v(N004)        
 2.17280000e-02  2.17280000e-02  2.58296553e+00  1.37804306e-142  1.37804306e-142 
 2.18280000e-02  2.18280000e-02  2.71616533e+00  3.84231488e-143  3.84231488e-143 
 2.19280000e-02  2.19280000e-02  2.84668459e+00  1.07132963e-143  1.07132963e-143 
 2.20280000e-02  2.20280000e-02  2.97439453e+00  2.98712422e-144  2.98712422e-144 
 2.21280000e-02  2.21280000e-02  3.09916909e+00  8.32881945e-145  8.32881945e-145 
 2.22280000e-02  2.22280000e-02  3.22088515e+00  2.32227482e-145  2.32227482e-145 
 2.23280000e-02  2.23280000e-02  3.33942258e+00  6.47505971e-146  6.47505971e-146 
 2.24280000e-02  2.24280000e-02  3.45466441e+00  1.80540210e-146  1.80540210e-146 
 2.25280000e-02  2.25280000e-02  3.56649690e+00  5.03389448e-147  5.03389448e-147 
 2.26280000e-02  2.26280000e-02  3.67480969e+00  1.40357063e-147  1.40357063e-147 
 2.27280000e-02  2.27280000e-02  3.77949588e+00  3.91349188e-148  3.91349188e-148 
 2.28280000e-02  2.28280000e-02  3.88045217e+00  1.09117549e-148  1.09117549e-148 
 2.29280000e-02  2.29280000e-02  3.97757892e+00  3.04245923e-149  3.04245923e-149 
 2.30280000e-02  2.30280000e-02  4.07078029e+00  8.48310675e-150  8.48310675e-150 
 2.31280000e-02  2.31280000e-02  4.15996428e+00  2.36529382e-150  2.36529382e-150 
 2.32280000e-02  2.32280000e-02  4.24504289e+00  6.59500702e-151  6.59500702e-151 
 2.33280000e-02  2.33280000e-02  4.32593215e+00  1.83884629e-151  1.83884629e-151 
 2.34280000e-02  2.34280000e-02  4.40255224e+00  5.12714491e-152  5.12714491e-152 
 2.35280000e-02  2.35280000e-02  4.47482755e+00  1.42957109e-152  1.42957109e-152 
 2.36280000e-02  2.36280000e-02  4.54268674e+00  3.98598740e-153  3.98598740e-153 
 2.37280000e-02  2.37280000e-02  4.60606285e+00  1.11138898e-153  1.11138898e-153 
 2.38280000e-02  2.38280000e-02  4.66489333e+00  3.09881930e-154  3.09881930e-154 
 2.39280000e-02  2.39280000e-02  4.71912012e+00  8.64025215e-155  8.64025215e-155 
 2.40280000e-02  2.40280000e-02  4.76868971e+00  2.40910973e-155  2.40910973e-155 
 2.41280000e-02  2.41280000e-02  4.81355318e+00  6.71717629e-156  6.71717629e-156 
 2.42280000e-02  2.42280000e-02  4.85366625e+00  1.87291001e-156  1.87291001e-156 
 2.43280000e-02  2.43280000e-02  4.88898934e+00  5.22212275e-157  5.22212275e-157 
