 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 2.49861378e-02  2.49861378e-02  5.00000000e+00  4.27421558e+00  4.27483883e+00  8.26571044e-01  1.25476319e-01 -2.44034721e+00  2.24873426e-01  1.53657019e-02  1.49998733e-02 
 2.49861554e-02  2.49861554e-02  5.00000000e+00  4.27398698e+00  4.27631273e+00  1.05237184e+00  8.84163369e-02 -2.47740588e+00  4.50679637e-01  1.55021145e-02  1.41690127e-02 
 2.49861811e-02  2.49861811e-02  5.00000000e+00  4.27410058e+00  4.27485880e+00  8.29708681e-01  1.06873211e-01 -2.45894720e+00  2.28024474e-01  1.54341767e-02  1.49882943e-02 
 2.49862135e-02  2.49862135e-02  5.00000000e+00  4.27389886e+00  4.27631229e+00  1.05229259e+00  7.40443767e-02 -2.49177364e+00  4.50618411e-01  1.55550172e-02  1.41692534e-02 
 2.49862621e-02  2.49862621e-02  5.00000000e+00  4.27402395e+00  4.27487498e+00  8.32230205e-01  9.44321540e-02 -2.47138239e+00  2.30571136e-01  1.54799700e-02  1.49789212e-02 
 2.49863398e-02  2.49863398e-02  5.00000000e+00  4.27383562e+00  4.27631906e+00  1.05326119e+00  6.36996948e-02 -2.50210918e+00  4.51626181e-01  1.55930963e-02  1.41655455e-02 
 2.49864733e-02  2.49864733e-02  5.00000000e+00  4.27397015e+00  4.27488830e+00  8.34259699e-01  8.56748831e-02 -2.48012436e+00  2.32666080e-01  1.55122048e-02  1.49712112e-02 
 2.49867117e-02  2.49867117e-02  5.00000000e+00  4.27380055e+00  4.27632689e+00  1.05431179e+00  5.79526985e-02 -2.50782922e+00  4.52792049e-01  1.56142513e-02  1.41612563e-02 
 2.49869929e-02  2.49869929e-02  5.00000000e+00  4.27395409e+00  4.27485397e+00  8.35009190e-01  8.31327821e-02 -2.48262880e+00  2.33576615e-01  1.55218350e-02  1.49910980e-02 
 2.49874375e-02  2.49874375e-02  5.00000000e+00  4.27379748e+00  4.27628739e+00  1.05430251e+00  5.75255782e-02 -2.50820373e+00  4.53007659e-01  1.56161070e-02  1.41828973e-02 
 2.49882462e-02  2.49882462e-02  5.00000000e+00  4.27395369e+00  4.27485922e+00  8.35075579e-01  8.30699312e-02 -2.48260080e+00  2.34031331e-01  1.55220760e-02  1.49880537e-02 
 2.49898636e-02  2.49898636e-02  5.00000000e+00  4.27379760e+00  4.27629202e+00  1.05423371e+00  5.75449670e-02 -2.50800847e+00  4.53690560e-01  1.56160337e-02  1.41803610e-02 
 2.49930985e-02  2.49930985e-02  5.00000000e+00  4.27395366e+00  4.27486878e+00  8.35035925e-01  8.30638811e-02 -2.48225511e+00  2.35494861e-01  1.55220977e-02  1.49825112e-02 
 2.49995682e-02  2.49995682e-02  5.00000000e+00  4.27379764e+00  4.27631082e+00  1.05410517e+00  5.75513486e-02 -2.50729866e+00  4.56567478e-01  1.56160100e-02  1.41700562e-02 
 2.50125076e-02  2.50125076e-02  5.00000000e+00  4.27395368e+00  4.27490652e+00  8.34802803e-01  8.30681959e-02 -2.48084404e+00  2.41269004e-01  1.55220817e-02  1.49606665e-02 
 2.50383865e-02  2.50383865e-02  5.00000000e+00  4.27379772e+00  4.27638619e+00  1.05362728e+00  5.75642356e-02 -2.50447270e+00  4.68089526e-01  1.56159623e-02  1.41288232e-02 
 2.50901442e-02  2.50901442e-02  5.00000000e+00  4.27395383e+00  4.27505720e+00  8.33855192e-01  8.30919998e-02 -2.47519588e+00  2.64263014e-01  1.55219943e-02  1.48737678e-02 
 2.51936596e-02  2.51936596e-02  5.00000000e+00  4.27379802e+00  4.27668719e+00  1.05173791e+00  5.76131289e-02 -2.49318217e+00  5.13851394e-01  1.56157818e-02  1.39653535e-02 
 2.54006904e-02  2.54006904e-02  5.00000000e+00  4.27395443e+00  4.27565752e+00  8.30113221e-01  8.31902936e-02 -2.45264253e+00  3.54903634e-01  1.55216336e-02  1.45325253e-02 
 2.58147520e-02  2.58147520e-02  5.00000000e+00  4.27379924e+00  4.27788262e+00  1.04439187e+00  5.78137310e-02 -2.44818413e+00  6.91654799e-01  1.56150411e-02  1.33345917e-02 
 2.66428753e-02  2.66428753e-02  5.00000000e+00  4.27395698e+00  4.27802196e+00  8.15958293e-01  8.36065868e-02 -2.36308013e+00  6.97078645e-01  1.55201060e-02  1.32629462e-02 
 2.76428753e-02  2.76428753e-02  5.00000000e+00  4.27380328e+00  4.28140941e+00  1.02457635e+00  5.84743133e-02 -2.31722442e+00  1.16940615e+00  1.56126041e-02  1.16348762e-02 
 2.86428753e-02  2.86428753e-02  5.00000000e+00  4.27396206e+00  4.28177790e+00  7.95657983e-01  8.44368098e-02 -2.22096126e+00  1.18511605e+00  1.55170538e-02  1.14702931e-02 
 2.96428753e-02  2.96428753e-02  5.00000000e+00  4.27380869e+00  4.28539960e+00  1.00566225e+00  5.93606010e-02 -2.17641760e+00  1.62207030e+00  1.56093403e-02  9.97155951e-03 
 3.06428753e-02  3.06428753e-02  5.00000000e+00  4.27396810e+00  4.28551337e+00  7.78075287e-01  8.54212641e-02 -2.08141196e+00  1.60503525e+00  1.55134323e-02  9.92779306e-03 
 3.16428753e-02  3.16428753e-02  5.00000000e+00  4.27381489e+00  4.28939922e+00  9.89282525e-01  6.03769750e-02 -2.03817965e+00  2.01160391e+00  1.56055983e-02  8.54291241e-03 
 3.26428753e-02  3.26428753e-02  5.00000000e+00  4.27397487e+00  4.28921764e+00  7.62849219e-01  8.65251067e-02 -1.94441746e+00  1.96643833e+00  1.55093711e-02  8.60309733e-03 
 3.36428753e-02  3.36428753e-02  5.00000000e+00  4.27382176e+00  4.29340810e+00  9.75098403e-01  6.15029439e-02 -1.90248165e+00  2.34690204e+00  1.56014531e-02  7.31633161e-03 
 3.46428753e-02  3.46428753e-02  5.00000000e+00  4.27398226e+00  4.29288556e+00  7.49664069e-01  8.77283850e-02 -1.80994856e+00  2.27756795e+00  1.55049437e-02  7.46564245e-03 
 3.56428753e-02  3.56428753e-02  5.00000000e+00  4.27382918e+00  4.29742667e+00  9.62816707e-01  6.27183554e-02 -1.76929490e+00  2.63560395e+00  1.55969788e-02  6.26351422e-03 
 3.66428753e-02  3.66428753e-02  5.00000000e+00  4.27399013e+00  4.29651117e+00  7.38246578e-01  8.90107173e-02 -1.67797708e+00  2.54550313e+00  1.55002251e-02  6.48918525e-03 
 3.76428753e-02  3.76428753e-02  5.00000000e+00  4.27383702e+00  4.30145503e+00  9.52183634e-01  6.40026220e-02 -1.63859167e+00  2.88427045e+00  1.55922514e-02  5.36016817e-03 
 3.86428753e-02  3.86428753e-02  5.00000000e+00  4.27399836e+00  4.30008750e+00  7.28360032e-01  9.03515468e-02 -1.54847554e+00  2.77632349e+00  1.54952909e-02  5.65119624e-03 
 3.96428753e-02  3.96428753e-02  5.00000000e+00  4.27384516e+00  4.30549275e+00  9.42979294e-01  6.53350663e-02 -1.51034488e+00  3.09853613e+00  1.55873468e-02  4.58544578e-03 
 4.06428753e-02  4.06428753e-02  5.00000000e+00  4.27400684e+00  4.30360656e+00  7.19799227e-01  9.17305285e-02 -1.42141676e+00  2.97525021e+00  1.54902161e-02  4.93233294e-03 
 4.16428753e-02  4.16428753e-02  5.00000000e+00  4.27385347e+00  4.30953866e+00  9.35013051e-01  6.66953191e-02 -1.38452764e+00  3.28324001e+00  1.55823401e-02  3.92145532e-03 
 4.26428753e-02  4.26428753e-02  5.00000000e+00  4.27401542e+00  4.30705917e+00  7.12386173e-01  9.31279465e-02 -1.29677348e+00  3.14676724e+00  1.54850733e-02  4.31598586e-03 
 4.36428753e-02  4.36428753e-02  5.00000000e+00  4.27386183e+00  4.31359053e+00  9.28119540e-01  6.80637426e-02 -1.26111286e+00  3.44253780e+00  1.55773035e-02  3.35283967e-03 
 4.46428753e-02  4.46428753e-02  5.00000000e+00  4.27402402e+00  4.31043500e+00  7.05966427e-01  9.45251358e-02 -1.17451790e+00  3.29472523e+00  1.54799311e-02  3.78788652e-03 
 4.56428753e-02  4.56428753e-02  5.00000000e+00  4.27387013e+00  4.31764477e+00  9.22155266e-01  6.94218548e-02 -1.14007283e+00  3.57999822e+00  1.55723052e-02  2.86641220e-03 
 4.66428753e-02  4.66428753e-02  5.00000000e+00  4.27403250e+00  4.31372256e+00  7.00405948e-01  9.59048827e-02 -1.05462131e+00  3.42243089e+00  1.54748529e-02  3.33576821e-03 
 4.76428753e-02  4.76428753e-02  5.00000000e+00  4.27387827e+00  4.32169598e+00  9.16995670e-01  7.07527289e-02 -1.02137883e+00  3.69868575e+00  1.55674073e-02  2.45084119e-03 
 4.86428753e-02  4.86428753e-02  5.00000000e+00  4.27404079e+00  4.31690944e+00  6.95588407e-01  9.72517762e-02 -9.37053757e-01  3.53272359e+00  1.54698956e-02  2.94907207e-03 
 4.96428753e-02  4.96428753e-02  5.00000000e+00  4.27388615e+00  4.32573663e+00  9.12532613e-01  7.20413451e-02 -9.05000828e-01  3.80123164e+00  1.55626652e-02  2.09637573e-03 
 5.06428753e-02  5.06428753e-02  5.00000000e+00  4.27404879e+00  4.31998260e+00  6.91412869e-01  9.85524873e-02 -8.21783810e-01  3.62804124e+00  1.54651082e-02  2.61869190e-03 
 5.16428753e-02  5.16428753e-02  5.00000000e+00  4.27389369e+00  4.32975666e+00  9.08672197e-01  7.32748719e-02 -7.90907174e-01  3.88989484e+00  1.55581261e-02  1.79460730e-03 
 5.26428753e-02  5.26428753e-02  5.00000000e+00  4.27405645e+00  4.32292893e+00  6.87791802e-01  9.97959567e-02 -7.08778373e-01  3.71047680e+00  1.54605314e-02  2.33675356e-03 
 5.36428753e-02  5.36428753e-02  5.00000000e+00  4.27390084e+00  4.33374328e+00  9.05332886e-01  7.44428598e-02 -6.79064490e-01  3.96661443e+00  1.55538284e-02  1.53826300e-03 
 5.46428753e-02  5.46428753e-02  5.00000000e+00  4.27406370e+00  4.32573602e+00  6.84649362e-01  1.00973477e-01 -5.98002648e-01  3.78182683e+00  1.54561974e-02  2.09642572e-03 
 5.56428753e-02  5.56428753e-02  5.00000000e+00  4.27390756e+00  4.34121814e+00  9.02577441e-01  7.54651503e-02 -5.69509426e-01  4.03331715e+00  1.55497867e-02  1.15218210e-03 
 5.66428753e-02  5.66428753e-02  5.00000000e+00  4.27407069e+00  4.32691195e+00  6.81847438e-01  1.02107320e-01 -4.89390997e-01  3.84375570e+00  1.54520248e-02  2.00324709e-03 
 5.76428753e-02  5.76428753e-02  5.00000000e+00  4.27391366e+00  4.34582776e+00  9.00103768e-01  7.64607786e-02 -4.62080672e-01  4.09108600e+00  1.55461218e-02  9.64099005e-04 
