time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),@ddiode7_1[id]
0.00012428,3.02743683e-15,-9.0,-8.99999801,-8.99999803,6.45232331e-06,-0.791167657,-0.120754201,0.0035195034,-8.9466358e-18
0.00012528,-4.55389147e-15,-9.0,-8.99999801,-8.99999803,6.41231557e-06,-0.791167697,-0.120754284,0.00354174847,-8.89116396e-18
0.00012628,1.07199372e-15,-9.0,-8.99999801,-8.99999803,6.37205471e-06,-0.791167737,-0.120754368,0.00356385371,-8.83534112e-18
0.00012728,3.53862648e-15,-9.0,-8.99999801,-8.99999803,6.33154232e-06,-0.791167777,-0.120754452,0.00358581826,-8.77916951e-18
0.00012828,-4.32990497e-15,-9.0,-8.99999801,-8.99999803,6.29078001e-06,-0.791167818,-0.120754536,0.00360764124,-8.72265137e-18
0.00012928,3.56421445e-16,-9.0,-8.99999801,-8.99999803,6.24976938e-06,-0.791167859,-0.120754621,0.0036293218,-8.66578887e-18
0.00013028,3.96440654e-15,-9.0,-8.99999801,-8.99999803,6.20851206e-06,-0.791167901,-0.120754707,0.00365085908,-8.60858432e-18
0.00013128,-4.00215427e-15,-9.0,-8.99999801,-8.99999803,6.16700968e-06,-0.791167942,-0.120754793,0.00367225224,-8.55103996e-18
0.00013228,-3.68057666e-16,-9.0,-8.99999801,-8.99999803,6.12526388e-06,-0.791167984,-0.120754879,0.00369350041,-8.49315806e-18
0.00013328,4.29453429e-15,-9.0,-8.99999801,-8.99999803,6.08327627e-06,-0.791168026,-0.120754966,0.00371460278,-8.43494086e-18
0.00013428,-3.57852526e-15,-9.0,-8.99999801,-8.99999803,6.04104857e-06,-0.791168068,-0.120755054,0.0037355585,-8.37639075e-18
0.00013528,-1.08403165e-15,-9.0,-8.99999801,-8.99999803,5.99858243e-06,-0.79116811,-0.120755142,0.00375636674,-8.31750999e-18
0.00013628,4.52106681e-15,-9.0,-8.99999801,-8.99999803,5.95587951e-06,-0.791168153,-0.12075523,0.00377702669,-8.2583009e-18
0.00013728,-3.06920878e-15,-9.0,-8.99999801,-8.99999803,5.9129415e-06,-0.791168196,-0.120755319,0.00379753753,-8.19876584e-18
0.00013828,-1.77429293e-15,-9.0,-8.99999801,-8.99999803,5.86977011e-06,-0.791168239,-0.120755409,0.00381789845,-8.13890715e-18
0.00013928,4.63855192e-15,-9.0,-8.99999801,-8.99999803,5.82636702e-06,-0.791168283,-0.120755499,0.00383810865,-8.07872717e-18
0.00014028,-2.48645566e-15,-9.0,-8.99999801,-8.99999803,5.78273399e-06,-0.791168326,-0.120755589,0.00385816732,-8.01822835e-18
0.00014128,-2.42225193e-15,-9.0,-8.99999801,-8.99999803,5.73887269e-06,-0.79116837,-0.12075568,0.00387807368,-7.95741299e-18
0.00014228,4.64415931e-15,-9.0,-8.99999801,-8.99999803,5.69478489e-06,-0.791168414,-0.120755771,0.00389782694,-7.89628355e-18
0.00014328,-1.84428218e-15,-9.0,-8.99999801,-8.99999803,5.65047233e-06,-0.791168459,-0.120755863,0.00391742632,-7.83484245e-18
0.00014428,-3.01233605e-15,-9.0,-8.99999801,-8.99999803,5.60593674e-06,-0.791168503,-0.120755955,0.00393687105,-7.77309207e-18
0.00014528,4.53774856e-15,-9.0,-8.99999801,-8.99999803,5.5611799e-06,-0.791168548,-0.120756048,0.00395616036,-7.71103488e-18
0.00014628,-1.1581331e-15,-9.0,-8.99999801,-8.99999803,5.51620355e-06,-0.791168593,-0.120756141,0.00397529348,-7.64867332e-18
0.00014728,-3.53036393e-15,-9.0,-8.99999801,-8.99999803,5.4710095e-06,-0.791168638,-0.120756235,0.00399426967,-7.58600988e-18
0.00014828,4.32187255e-15,-9.0,-8.99999801,-8.99999803,5.42559951e-06,-0.791168683,-0.120756329,0.00401308817,-7.52304699e-18
0.00014928,-4.44510285e-16,-9.0,-8.99999801,-8.99999803,5.37997539e-06,-0.791168729,-0.120756423,0.00403174824,-7.45978718e-18
0.00015028,-3.96388649e-15,-9.0,-8.99999801,-8.99999803,5.33413895e-06,-0.791168775,-0.120756518,0.00405024914,-7.39623293e-18
0.00015128,4.00171602e-15,-9.0,-8.99999801,-8.99999803,5.28809197e-06,-0.791168821,-0.120756614,0.00406859014,-7.33238672e-18
0.00015228,2.79424001e-16,-9.0,-8.99999801,-8.99999803,5.24183629e-06,-0.791168867,-0.12075671,0.00408677053,-7.26825113e-18
0.00015328,-4.30248623e-15,-9.0,-8.99999801,-8.99999803,5.19537374e-06,-0.791168914,-0.120756806,0.00410478958,-7.20382866e-18
0.00015428,3.58497101e-15,-9.0,-8.99999801,-8.99999803,5.14870614e-06,-0.79116896,-0.120756903,0.00412264657,-7.13912185e-18
0.00015528,9.96259704e-16,-9.0,-8.99999801,-8.99999803,5.10183534e-06,-0.791169007,-0.120757,0.00414034081,-7.07413326e-18
0.00015628,-4.53802761e-15,-9.0,-8.99999801,-8.99999803,5.0547632e-06,-0.791169054,-0.120757097,0.0041578716,-7.00886548e-18
0.00015728,3.08165186e-15,-9.0,-8.99999801,-8.99999803,5.00749158e-06,-0.791169102,-0.120757195,0.00417523824,-6.94332105e-18
0.00015828,1.68875758e-15,-9.0,-8.99999801,-8.99999803,4.96002232e-06,-0.791169149,-0.120757294,0.00419244005,-6.87750258e-18
0.00015928,-4.66485271e-15,-9.0,-8.99999801,-8.99999803,4.91235734e-06,-0.791169197,-0.120757392,0.00420947635,-6.81141269e-18
