time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),v(N008),v(N009),v(N010),@dled12_1[id]
1.68821591,7.99999906,7.90078797,7.49467913,11.9920952,12.0,11.3025993,11.6176678,10.9071377,10.9586191,1.18215709,5.43102922e-05
1.68826591,7.99999906,7.90108546,7.49498053,11.992095,12.0,11.3025783,11.3060131,10.9399594,10.9605679,1.17489865,5.43059749e-05
1.68831591,7.99999906,7.90138293,7.49528191,11.9920952,12.0,11.3025993,11.6497112,10.971787,10.9674631,1.17262389,5.43016575e-05
1.68836591,7.99999906,7.90168039,7.49558327,11.992095,12.0,11.3025783,11.3376484,11.0026673,10.9693771,1.16540497,5.42973397e-05
1.68841591,7.99999906,7.90197781,7.4958846,11.9920952,12.0,11.3025993,11.679843,11.0326119,10.9762318,1.16316368,5.42930242e-05
1.68846591,7.99999906,7.90227522,7.49618591,11.992095,12.0,11.3025783,11.3674282,11.0616656,10.9781113,1.15598401,5.42887069e-05
1.68851591,7.99999906,7.90257261,7.49648721,11.9920952,12.0,11.3025993,11.7081765,11.0898385,10.9849258,1.153776,5.42843918e-05
1.68856591,7.99999906,7.90286997,7.49678848,11.992095,12.0,11.3025783,11.3954622,11.1171738,10.9867711,1.1466353,5.42800758e-05
1.68861591,7.99999906,7.90316731,7.49708972,11.9920952,12.0,11.3025993,11.7348179,11.1436798,10.9935457,1.14446034,5.42757606e-05
1.68866591,7.99999906,7.90346463,7.49739095,11.992095,12.0,11.3025783,11.4218536,11.1693983,10.9953571,1.13735834,5.42714461e-05
1.68870669,7.99999906,7.90370708,7.49763659,11.9920953,12.0,11.3026021,11.7575642,11.1897913,11.0013045,1.13606352,5.42679281e-05
1.68871933,7.99999906,7.90378223,7.49771272,11.9920949,12.0,11.3025661,0.0177404841,11.1086997,1.73933044,-8.11901584,5.42668363e-05
1.68872407,7.99999906,7.90381042,7.49774128,11.9920954,12.0,11.3026112,0.0178309136,11.044761,1.73881051,-8.11352329,5.42664278e-05
1.68872751,7.99999906,7.90383088,7.49776201,11.9920949,12.0,11.3025672,0.0176558458,10.998583,1.7373643,-8.1106077,5.42661303e-05
1.68873127,7.99999906,7.90385324,7.49778467,11.9920954,12.0,11.3026099,0.0177508401,10.948323,1.73705298,-8.10615295,5.42658062e-05
1.68873558,7.99999906,7.90387888,7.49781064,11.9920949,12.0,11.3025683,0.0175731668,10.8910102,1.7354268,-8.10232025,5.42654347e-05
1.6887398,7.99999906,7.90390395,7.49783604,11.9920953,12.0,11.302609,0.0176686981,10.8352417,1.73503258,-8.09737789,5.42650712e-05
1.68874456,7.99999906,7.90393226,7.49786472,11.9920949,12.0,11.302569,0.017482085,10.7726072,1.73327414,-8.09311329,5.42646593e-05
1.68874978,7.99999906,7.90396332,7.49789619,11.9920953,12.0,11.3026083,0.0175674531,10.7043017,1.73263905,-8.0871441,5.42642085e-05
1.68875561,7.99999906,7.90399798,7.4979313,11.9920949,12.0,11.3025696,0.0173712266,10.6285998,1.73062798,-8.08179144,5.42637058e-05
1.68876245,7.99999906,7.90403861,7.49797247,11.9920953,12.0,11.3026077,0.017440948,10.5405353,1.72960912,-8.07418459,5.42631164e-05
1.68877061,7.99999906,7.90408714,7.49802164,11.9920949,12.0,11.3025701,0.0172230672,10.4363005,1.72704449,-8.06645575,5.42624119e-05
1.68878084,7.99999906,7.90414794,7.49808324,11.9920953,12.0,11.3026074,0.0172608166,10.3071674,1.72521929,-8.05540011,5.42615296e-05
1.68879435,7.99999906,7.90422825,7.49816461,11.9920949,12.0,11.3025703,0.0169938925,10.139031,1.72138842,-8.0422411,5.42603639e-05
1.68881331,7.99999906,7.904341,7.49827883,11.9920953,12.0,11.3026072,0.0169525638,9.90761299,1.71749627,-8.02233136,5.42587283e-05
1.68884215,7.99999906,7.90451244,7.49845253,11.9920949,12.0,11.3025705,0.0165518177,9.56577672,1.71005547,-7.99368691,5.42562396e-05
1.68888615,7.99999906,7.90477401,7.49871754,11.9920953,12.0,11.3026071,0.0163040012,9.06675657,1.70030475,-7.9486333,5.42524437e-05
1.68893615,7.99999906,7.90507121,7.49901864,11.9920949,12.0,11.3025705,0.0157539978,8.53123065,1.68800049,-7.89903262,5.42481301e-05
1.68898615,7.99999906,7.90536839,7.49931973,11.9920953,12.0,11.302607,0.0155023548,8.02736775,1.67700338,-7.84851587,5.42438176e-05
