 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)        
 1.74359675e-02  1.74359675e-02  1.80000000e+01  9.07830621e+00  9.07801923e+00  1.68451018e+01  7.83123130e-02  1.66402343e-01  9.07120346e+00  7.49042942e+00 -2.16505264e-03 
 1.74362800e-02  1.74362800e-02  1.80000000e+01  9.07794471e+00  9.07767426e+00  1.68379472e+01  7.79508195e-02  1.66057537e-01  9.06595318e+00  7.48269073e+00 -2.54472323e-03 
 1.74369050e-02  1.74369050e-02  1.80000000e+01  9.07722082e+00  9.07697462e+00  1.68209706e+01  7.72269322e-02  1.65358455e-01  9.05574626e+00  7.46454812e+00 -3.08728886e-03 
 1.74381550e-02  1.74381550e-02  1.80000000e+01  9.07576947e+00  9.07555376e+00  1.67772077e+01  7.57755961e-02  1.63939640e-01  9.03668008e+00  7.41846422e+00 -4.12077755e-03 
 1.74406550e-02  1.74406550e-02  1.80000000e+01  9.07285285e+00  9.07267482e+00  1.66559324e+01  7.28589911e-02  1.61068051e-01  9.00388534e+00  7.29260411e+00 -5.81267867e-03 
 1.74456550e-02  1.74456550e-02  1.80000000e+01  9.06696640e+00  9.06683681e+00  1.63106220e+01  6.69725744e-02  1.55254651e-01  8.95517491e+00  6.93843455e+00 -8.25635666e-03 
 1.74556550e-02  1.74556550e-02  1.80000000e+01  9.05500110e+00  9.05491115e+00  1.53697954e+01  5.50073341e-02  1.43402300e-01  8.89782073e+00  5.98155338e+00 -1.08297979e-02 
 1.74656550e-02  1.74656550e-02  1.80000000e+01  9.04281872e+00  9.04275819e+00  1.42499745e+01  4.28250049e-02  1.31339802e-01  8.86820745e+00  4.84830840e+00 -1.18153899e-02 
 1.74756550e-02  1.74756550e-02  1.80000000e+01  9.03046734e+00  9.03042178e+00  1.30571240e+01  3.04736650e-02  1.19100713e-01  8.84819511e+00  3.64496151e+00 -1.22429958e-02 
 1.74856550e-02  1.74856550e-02  1.80000000e+01  9.01799571e+00  9.01796600e+00  1.18304619e+01  1.80020595e-02  1.06745378e-01  8.83197594e+00  2.41085307e+00 -1.24353264e-02 
 1.74956550e-02  1.74956550e-02  1.80000000e+01  9.00545305e+00  9.00543694e+00  1.05865723e+01  5.45940804e-03  9.43183337e-02  8.81745351e+00  1.16262142e+00 -1.25274637e-02 
 1.75056550e-02  1.75056550e-02  1.80000000e+01  8.99288885e+00  8.99288551e+00  9.33428175e+00 -7.10478919e-03  8.18696930e-02  8.80401129e+00 -9.08834269e-02 -1.25423358e-02 
 1.75156550e-02  1.75156550e-02  1.80000000e+01  8.98035271e+00  8.98036256e+00  8.07993345e+00 -1.96409471e-02  6.94497950e-02  8.79147697e+00 -1.34331373e+00 -1.25069774e-02 
 1.75256550e-02  1.75256550e-02  1.80000000e+01  8.96789409e+00  8.96791730e+00  6.82896579e+00 -3.20995911e-02  5.71073709e-02  8.77980818e+00 -2.58924109e+00 -1.24134406e-02 
 1.75356550e-02  1.75356550e-02  1.80000000e+01  8.95556217e+00  8.95559988e+00  5.58651921e+00 -4.44315527e-02  4.48921503e-02  8.76903420e+00 -3.82354824e+00 -1.22754619e-02 
