time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.366781616,5.0,4.28051311,4.2738982,-3.29437996,1.02832846,0.888921983,0.0739367836
0.3677649,5.0,4.28286306,4.2738795,-3.2189205,1.31312947,0.932670348,0.0708794276
0.3687649,5.0,4.28428848,4.27390309,-3.13597707,1.47821686,0.870184636,0.0747372952
0.3697649,5.0,4.2867777,4.27388607,-3.06044025,1.73417635,0.915006511,0.0719548729
0.3707649,5.0,4.28812922,4.27390872,-2.9791778,1.86888518,0.853819154,0.0756563098
0.3717649,5.0,4.29069161,4.27389352,-2.9048533,2.09655018,0.899711678,0.0731721433
0.3727649,5.0,4.29195732,4.27391489,-2.82529669,2.20516409,0.839652041,0.0766642026
0.3737649,5.0,4.29460452,4.27390168,-2.7521294,2.40851259,0.886464491,0.0745054512
0.3747649,5.0,4.29577096,4.27392148,-2.67430003,2.49471451,0.827388691,0.077738938
0.3757649,5.0,4.29851644,4.27391043,-2.60223301,2.677164,0.874991508,0.0759349024
0.3767649,5.0,4.29958958,4.2739288,-2.526081,2.74410915,0.816765929,0.0789325972
0.3777649,5.0,4.30242744,4.27391965,-2.45513026,2.90860484,0.865055837,0.0774403397
0.3787649,5.0,4.30336257,4.27393604,-2.38071678,2.95901127,0.807575194,0.0801137584
0.3797649,5.0,4.30633746,4.27392921,-2.31078789,3.10807044,0.856452403,0.0790005543
0.3807649,5.0,4.30711407,4.27394336,-2.23812693,3.1442688,0.799620326,0.0813089428
0.3817649,5.0,4.31024647,4.27393899,-2.16917315,3.28005965,0.849003295,0.0805949229
0.3827649,5.0,4.31084127,4.27395067,-2.09827641,3.30405086,0.792735359,0.0825001377
0.3837649,5.0,4.31415444,4.27394885,-2.03025368,3.42843662,0.842554206,0.082203088
0.3847649,5.0,4.31454105,4.27395785,-1.96112928,3.44193854,0.78677636,0.0836709111
0.3857649,5.0,4.31806127,4.27395868,-1.89399698,3.5565205,0.836971274,0.0838054939
0.3867649,5.0,4.31820999,4.27396482,-1.82664835,3.56100787,0.781618496,0.0848067256
0.3877649,5.0,4.32196679,4.27396836,-1.76037005,3.66716235,0.832138369,0.0853837753
0.3887649,5.0,4.32184431,4.2739715,-1.69479499,3.66390119,0.777153503,0.0858951796
0.3897649,5.0,4.32587078,4.2739778,-1.629339,3.76281129,0.827954754,0.0869211248
0.3907649,5.0,4.32543994,4.27397783,-1.565529,3.75288837,0.773287504,0.0869261623
0.3917649,5.0,4.32977288,4.27398689,-1.5008688,3.84557118,0.824333068,0.0884026173
0.3927649,5.0,4.32899249,4.27398376,-1.43880854,3.82991934,0.769939115,0.0878919183
0.3937649,5.0,4.3336726,4.27399557,-1.37492303,3.91724937,0.821197572,0.0898154751
0.3947649,5.0,4.3324973,4.27398925,-1.31459021,3.89666925,0.767037806,0.0887870235
0.3957649,5.0,4.33756929,4.27400377,-1.2514637,3.97939849,0.818482624,0.0911492556
0.3967649,5.0,4.33594951,4.2739943,-1.19282919,3.95457717,0.764522479,0.0896082775
0.3977649,5.0,4.34146203,4.27401143,-1.13045119,4.03335239,0.816131358,0.0923959495
0.3987649,5.0,4.33934407,4.27399888,-1.07347942,4.0048794,0.762340224,0.0903545229
0.3997649,5.0,4.34534963,4.27401852,-1.01184429,4.08025693,0.814094528,0.0935499867
0.4007649,5.0,4.34267587,4.27400301,-0.956493903,4.04863801,0.760445249,0.0910264074
0.4017649,5.0,4.34923055,4.27402503,-0.895600293,4.12109642,0.812329505,0.094608148
0.4027649,5.0,4.3459398,4.2740067,-0.841824976,4.08676535,0.758797936,0.0916261024
0.4037649,5.0,4.35310281,4.27403094,-0.781675201,4.15671641,0.810799393,0.0955693952
0.4047649,5.0,4.34913217,4.27401042,-0.729350428,4.12004462,0.757363463,0.0922315823
0.4057649,5.0,4.35696394,4.27403628,-0.670022692,4.18784325,0.809472248,0.0964366229
0.4067649,5.0,4.35224687,4.27401337,-0.619157311,4.1491501,0.756113314,0.0927121722
0.4077649,5.0,4.3608109,4.27404103,-0.560599719,4.21510065,0.808320485,0.0972090421
0.4087649,5.0,4.35528036,4.27401596,-0.511137008,4.17465943,0.755021449,0.0931333884
0.4097649,5.0,4.36466827,4.27404577,-0.453273471,4.23902576,0.80732067,0.0979775302
0.4107649,5.0,4.35822932,4.27401822,-0.40524363,4.19707112,0.754065757,0.0935000497
0.4117649,5.0,4.36848465,4.27404948,-0.348162899,4.260078,0.806451486,0.0985817145
0.4127649,5.0,4.36109065,4.27402017,-0.301430562,4.21680999,0.753227314,0.0938169984
0.4137649,5.0,4.37227634,4.27405271,-0.245142464,4.27865174,0.805695331,0.0991061923
0.4147649,5.0,4.36386217,4.27402184,-0.199652861,4.23424226,0.752489766,0.094089062
0.4157649,5.0,4.37603801,4.27405549,-0.144166466,4.295086,0.805036741,0.0995569871
0.4167649,5.0,4.3665425,4.27402327,-0.0998666003,4.24968233,0.75183905,0.0943209232
0.4177649,5.0,4.37976375,4.27405785,-0.045189806,4.30967173,0.80446233,0.0999403833
0.4187649,5.0,4.36913104,4.27402447,-0.00202895525,4.26340011,0.751263083,0.0945170183
0.4197649,5.0,4.38344706,4.27405984,0.0518318287,4.32265858,0.803960506,0.100262727
0.4207649,5.0,4.37162801,4.27402548,0.0939017572,4.27562724,0.750751498,0.0946814789
0.4217649,5.0,4.38708107,4.27406148,0.146941824,4.33426069,0.803521233,0.100530266
0.4227649,5.0,4.37403437,4.27402632,0.187966065,4.28656254,0.750295413,0.0948180988
0.4237649,5.0,4.39065866,4.27406283,0.240182534,4.34466176,0.803135818,0.100749018
0.4247649,5.0,4.37635171,4.27402702,0.280203352,4.29637659,0.749887212,0.0949303251
0.4257649,5.0,4.39417267,4.27406391,0.331595213,4.35401928,0.802796726,0.100924693
0.4267649,5.0,4.37858209,4.27402758,0.370652041,4.30521518,0.749520105,0.0950214315
0.4277649,5.0,4.3976157,4.27406476,0.421220317,4.36246714,0.802497092,0.101063005
0.4287649,5.0,4.3807233,4.27402806,0.4593547,4.31318644,0.749179734,0.0950998315
0.4297649,5.0,4.40096483,4.27406549,0.509108141,4.37008543,0.802220691,0.10118092
0.4307649,5.0,4.38263046,4.27402949,0.546508239,4.31989524,0.748609226,0.0953332944
0.4317649,5.0,4.40371832,4.27406825,0.595630006,4.37595742,0.8016653,0.101629344
0.4327649,5.0,4.37907705,4.27408076,0.639965866,4.30709941,0.738433058,0.103659315
0.4328899,5.0,4.38238827,4.27429978,0.680539446,4.31905941,0.754347332,0.139043623
0.433080936,5.0,4.38147646,4.2742321,0.677572576,4.31587549,0.756823286,0.128140971
0.433085958,5.0,4.38462063,4.27409558,0.655704352,4.32652862,0.767525613,0.106062304
0.433096003,5.0,4.38470436,4.27408682,0.654704931,4.32680002,0.767892739,0.104641949
0.433102288,5.0,4.38448824,4.27409692,0.656606165,4.3260983,0.767252404,0.106279816
0.433109092,5.0,4.38455072,4.27409065,0.655875286,4.32630127,0.767523893,0.105263895
0.433118803,5.0,4.38433055,4.2740992,0.657667583,4.32558296,0.76690623,0.106649482
0.433128663,5.0,4.38433002,4.27409529,0.657446459,4.32558125,0.76701094,0.106015458
0.433142368,5.0,4.38406428,4.27410409,0.6594474,4.32470882,0.766293525,0.107442656
0.433158973,5.0,4.3839558,4.27410296,0.659958149,4.32435135,0.766136028,0.10725857
0.433179655,5.0,4.38351504,4.27411624,0.662975328,4.32288583,0.764943029,0.109410832
0.433206642,5.0,4.38311317,4.27412324,0.665237572,4.32153451,0.763995647,0.110545509
0.433207876,5.0,4.38158665,4.27418284,0.674931495,4.31626448,0.758755918,0.120188093
0.433207914,5.0,4.3815197,4.2741852,0.675314908,4.31603277,0.758525172,0.120569901
0.433207991,5.0,4.38134334,4.27419112,0.676274112,4.31540503,0.757899396,0.121525898
0.433208145,5.0,4.38015348,4.27422755,0.682161373,4.31111021,0.753609161,0.127406756
0.433208173,5.0,4.37950796,4.27424525,0.685016717,4.30872381,0.751223787,0.13026097
0.43320818,5.0,4.37929924,4.27425061,0.68588108,4.30793703,0.750437273,0.131125051
0.433208193,5.0,4.37878345,4.27426354,0.687966214,4.30598367,0.74848447,0.133209621
