 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         @dled12_1[id]   @dled12_2[id]  
 6.52977345e-02  6.52977345e-02  0.00000000e+00  9.00000000e+00  7.27920752e+00  7.85540259e+00  7.42852071e-01  1.81730352e-01  5.85049799e-01  7.85349208e+00  1.51010153e-02  4.06492495e-06 
 6.52977416e-02  6.52977416e-02  0.00000000e+00  9.00000000e+00  7.27922731e+00  7.85518842e+00  7.42630561e-01  1.82442865e-01  5.85763579e-01  7.85327000e+00  1.50995414e-02  4.08177586e-06 
 6.52977560e-02  6.52977560e-02  0.00000000e+00  9.00000000e+00  7.27927953e+00  7.85461675e+00  7.42038875e-01  1.84322909e-01  5.87646147e-01  7.85267713e+00  1.50956529e-02  4.12709805e-06 
 6.52977596e-02  6.52977596e-02  0.00000000e+00  9.00000000e+00  7.27929724e+00  7.85439715e+00  7.41811404e-01  1.84960539e-01  5.88284405e-01  7.85244935e+00  1.50943337e-02  4.14464138e-06 
 6.52977667e-02  6.52977667e-02  0.00000000e+00  9.00000000e+00  7.27933848e+00  7.85391658e+00  7.41313222e-01  1.86445579e-01  5.89770695e-01  7.85195052e+00  1.50912618e-02  4.18329295e-06 
 6.52977811e-02  6.52977811e-02  0.00000000e+00  9.00000000e+00  7.27948885e+00  7.85197904e+00  7.39302132e-01  1.91858506e-01  5.95186072e-01  7.84993797e+00  1.50800647e-02  4.34281586e-06 
 6.52977847e-02  6.52977847e-02  0.00000000e+00  9.00000000e+00  7.27955867e+00  7.85100507e+00  7.38289861e-01  1.94371617e-01  5.97699772e-01  7.84892526e+00  1.50748663e-02  4.42528655e-06 
 6.52977918e-02  6.52977918e-02  0.00000000e+00  9.00000000e+00  7.27978401e+00  7.84755923e+00  7.34702027e-01  2.02481009e-01  6.05810286e-01  7.84533643e+00  1.50580917e-02  4.72982537e-06 
 6.52977936e-02  6.52977936e-02  0.00000000e+00  9.00000000e+00  7.27988922e+00  7.84579456e+00  7.32860385e-01  2.06266478e-01  6.09596004e-01  7.84349448e+00  1.50502612e-02  4.89380335e-06 
 6.52977972e-02  6.52977972e-02  0.00000000e+00  9.00000000e+00  7.28023257e+00  7.83957151e+00  7.26345186e-01  2.18616683e-01  6.21946633e-01  7.83697854e+00  1.50247154e-02  5.51873340e-06 
 6.52977981e-02  6.52977981e-02  0.00000000e+00  9.00000000e+00  7.28039358e+00  7.83642329e+00  7.23033794e-01  2.24406382e-01  6.27736398e-01  7.83366691e+00  1.50127387e-02  5.86463345e-06 
 6.52977999e-02  6.52977999e-02  0.00000000e+00  9.00000000e+00  7.28091227e+00  7.82584307e+00  7.11829471e-01  2.43050071e-01  6.46380135e-01  7.82246201e+00  1.49741749e-02  7.19374141e-06 
 6.52978003e-02  6.52978003e-02  0.00000000e+00  9.00000000e+00  7.28113752e+00  7.82093774e+00  7.06588538e-01  2.51142849e-01  6.54472883e-01  7.81722089e+00  1.49574355e-02  7.90819267e-06 
 6.52978012e-02  6.52978012e-02  0.00000000e+00  9.00000000e+00  7.28176859e+00  7.80677804e+00  6.91263328e-01  2.73803548e-01  6.77133458e-01  7.80189523e+00  1.49105649e-02  1.03931169e-05 
 6.52978030e-02  6.52978030e-02  0.00000000e+00  9.00000000e+00  7.28575339e+00  7.70391796e+00  5.58053021e-01  4.16475870e-01  8.19804413e-01  7.66868274e+00  1.46154841e-02  7.49685565e-05 
 6.52978051e-02  6.52978051e-02  0.00000000e+00  9.00000000e+00  7.31076994e+00  7.49652790e+00 -8.13964614e-01  1.29478907e+00  1.69810646e+00  6.29664966e+00  1.27999899e-02  2.55842789e-03 
 6.52978070e-02  6.52978070e-02  0.00000000e+00  9.00000000e+00  7.31126637e+00  7.34595955e+00 -4.43653780e+00  1.31189168e+00  1.71519114e+00  2.67404277e+00  1.27646270e-02  1.12684103e-02 
 6.52978089e-02  6.52978089e-02  0.00000000e+00  9.00000000e+00  7.31077568e+00  7.27929323e+00 -6.92573364e+00  1.29498300e+00  1.69826537e+00  1.84816338e-01  1.27995589e-02  1.50946317e-02 
 6.52978110e-02  6.52978110e-02  0.00000000e+00  9.00000000e+00  7.32216235e+00  7.27758706e+00 -6.98721634e+00  1.68394536e+00  2.08720411e+00  1.23323347e-01  1.19962064e-02  1.52218377e-02 
 6.52978134e-02  6.52978134e-02  0.00000000e+00  9.00000000e+00  7.31739055e+00  7.27717413e+00 -7.00211850e+00  1.52182219e+00  1.92505108e+00  1.08421723e-01  1.23309968e-02  1.52526651e-02 
 6.52978157e-02  6.52978157e-02  0.00000000e+00  9.00000000e+00  7.32070240e+00  7.27699618e+00 -7.00854160e+00  1.63448075e+00  2.03768146e+00  1.01997427e-01  1.20983440e-02  1.52659549e-02 
