time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007)
0.371624254,5.0,4.32147952,4.27401623,-1.6872514,3.65468561,0.76017772,0.0932043018
0.372624254,5.0,4.32641396,4.27393119,-1.63668079,3.786429,0.844372694,0.0793458201
0.373624254,5.0,4.32496236,4.27402389,-1.55777496,3.74262558,0.756348551,0.094448697
0.374624254,5.0,4.33033369,4.27393858,-1.50848887,3.86822877,0.840799597,0.0805516861
0.375624254,5.0,4.32838069,4.27403113,-1.43084449,3.81874728,0.753030539,0.0956267741
0.376624254,5.0,4.33424428,4.27394554,-1.38282218,3.93907371,0.837706695,0.0816874343
0.377624254,5.0,4.33172622,4.27403793,-1.30641838,3.88470417,0.750153826,0.0967312947
0.378624254,5.0,4.33814159,4.27395204,-1.25963921,4.0004961,0.835029,0.082746144
0.379624254,5.0,4.33499017,4.27404425,-1.18445345,3.94191615,0.747657885,0.0977574025
0.380624254,5.0,4.34202033,4.27395803,-1.13889693,4.05381172,0.83271018,0.0837232424
0.381624254,5.0,4.33816344,4.27405006,-1.06490514,3.99160247,0.745490299,0.0987024758
0.382624254,5.0,4.34587395,4.27396351,-1.02055093,4.10015025,0.830701413,0.0846163622
0.383624254,5.0,4.34123687,4.27405538,-0.947727724,4.0348099,0.743605709,0.0995659042
0.384624254,5.0,4.34969456,4.27396847,-0.904555701,4.14048137,0.828960395,0.0854251293
0.385624254,5.0,4.34420167,4.2740602,-0.83287465,4.07243694,0.741964898,0.100348807
0.386624254,5.0,4.35347296,4.27397292,-0.790864905,4.17563726,0.827450475,0.0861508979
0.387624254,5.0,4.34704976,4.27406455,-0.720298843,4.10525471,0.740533996,0.101053719
0.388624254,5.0,4.35946786,4.2739765,-0.679518313,4.20647173,0.826195815,0.0867093917
