 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         @dled12_1[id]   @dled12_2[id]  
 5.44667602e-02  5.44667602e-02  5.00000000e+00  4.39271846e+00  4.27404543e+00  1.15329347e-01  4.35029227e+00  7.75706591e-01  9.79228374e-02  1.57320732e-04  1.54671208e-02 
 5.54667602e-02  5.54667602e-02  5.00000000e+00  4.39391693e+00  4.27404788e+00  1.62738366e-01  4.35340851e+00  7.75555118e-01  9.83205844e-02  1.50197471e-04  1.54656567e-02 
 5.64667602e-02  5.64667602e-02  5.00000000e+00  4.39511447e+00  4.27404562e+00  2.08930492e-01  4.35643876e+00  7.75465426e-01  9.79540555e-02  1.43401883e-04  1.54670059e-02 
 5.74667602e-02  5.74667602e-02  5.00000000e+00  4.39626938e+00  4.27404804e+00  2.55433490e-01  4.35927971e+00  7.75325073e-01  9.83466350e-02  1.37139615e-04  1.54655608e-02 
 5.84667602e-02  5.84667602e-02  5.00000000e+00  4.39742504e+00  4.27404572e+00  3.00724144e-01  4.36205177e+00  7.75245951e-01  9.79707463e-02  1.31146998e-04  1.54669444e-02 
 5.94667602e-02  5.94667602e-02  5.00000000e+00  4.39853716e+00  4.27404811e+00  3.46339257e-01  4.36464998e+00  7.75115250e-01  9.83589023e-02  1.25627573e-04  1.54655157e-02 
 6.04667602e-02  6.04667602e-02  5.00000000e+00  4.39965170e+00  4.27404575e+00  3.90747065e-01  4.36719387e+00  7.75045230e-01  9.79750743e-02  1.20329145e-04  1.54669285e-02 
 6.14667602e-02  6.14667602e-02  5.00000000e+00  4.40072138e+00  4.27404812e+00  4.35492459e-01  4.36957614e+00  7.74922316e-01  9.83599681e-02  1.15454254e-04  1.54655117e-02 
 6.24667602e-02  6.24667602e-02  5.00000000e+00  4.40179235e+00  4.27404573e+00  4.79038282e-01  4.37191044e+00  7.74856818e-01  9.79723402e-02  1.10771346e-04  1.54669386e-02 
 6.34667602e-02  6.34667602e-02  5.00000000e+00  4.40280152e+00  4.27404818e+00  5.22946336e-01  4.37406019e+00  7.74722351e-01  9.83702689e-02  1.06532613e-04  1.54654738e-02 
 6.44667602e-02  6.44667602e-02  5.00000000e+00  4.40362152e+00  4.27404699e+00  5.65840200e-01  4.37575555e+00  7.74436938e-01  9.81766951e-02  1.03208148e-04  1.54661863e-02 
 6.54667602e-02  6.54667602e-02  5.00000000e+00  4.40337303e+00  4.27405573e+00  6.09913455e-01  4.37524629e+00  7.73194056e-01  9.95953279e-02  1.04204507e-04  1.54609646e-02 
 6.64667602e-02  6.64667602e-02  5.00000000e+00  4.39565346e+00  4.27412403e+00  6.63104978e-01  4.35773524e+00  7.63843264e-01  1.10672505e-01  1.40444517e-04  1.54201911e-02 
 6.74667602e-02  6.74667602e-02  5.00000000e+00  4.27388238e+00  4.27673697e+00  9.38234344e-01  7.13516079e-02 -3.47370276e+00  5.13340716e-01  1.55649294e-02  1.39385046e-02 
 6.81886320e-02  6.81886320e-02  5.00000000e+00  4.27388429e+00  4.27813262e+00  9.29668232e-01  7.16630044e-02 -3.41444033e+00  7.13210622e-01  1.55637825e-02  1.32063225e-02 
 6.88493864e-02  6.88493864e-02  5.00000000e+00  4.27388553e+00  4.27942429e+00  9.22749694e-01  7.18653930e-02 -3.36063925e+00  8.87412057e-01  1.55630377e-02  1.25630085e-02 
 6.96425978e-02  6.96425978e-02  5.00000000e+00  4.27388789e+00  4.28096267e+00  9.14251666e-01  7.22519468e-02 -3.29636235e+00  1.08481640e+00  1.55616149e-02  1.18375792e-02 
 7.06425978e-02  7.06425978e-02  5.00000000e+00  4.27388996e+00  4.28283571e+00  9.04832805e-01  7.25901006e-02 -3.21617633e+00  1.31814145e+00  1.55603699e-02  1.10106518e-02 
 7.16425978e-02  7.16425978e-02  5.00000000e+00  4.27389320e+00  4.28476820e+00  8.95506106e-01  7.31187889e-02 -3.13657245e+00  1.53400988e+00  1.55584239e-02  1.02179748e-02 
