 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)        
 8.60097946e-02  8.60097946e-02  2.50436566e+00  0.00000000e+00  4.66208371e-02  6.40364213e-01  2.34910699e-02 
 8.65097946e-02  8.65097946e-02  2.48770888e+00  0.00000000e+00  4.64162509e-02  6.39924852e-01  2.32866900e-02 
 8.70097946e-02  8.70097946e-02  2.47117146e+00  0.00000000e+00  4.62121101e-02  6.39487370e-01  2.30837906e-02 
 8.75097946e-02  8.75097946e-02  2.45475253e+00  0.00000000e+00  4.60105028e-02  6.39050425e-01  2.28823777e-02 
 8.80097946e-02  8.80097946e-02  2.43845123e+00  0.00000000e+00  4.58093041e-02  6.38615341e-01  2.26824238e-02 
 8.85097946e-02  8.85097946e-02  2.42226673e+00  0.00000000e+00  4.56106336e-02  6.38180757e-01  2.24839355e-02 
 8.90097946e-02  8.90097946e-02  2.40619817e+00  0.00000000e+00  4.54123348e-02  6.37748014e-01  2.22868852e-02 
 8.95097946e-02  8.95097946e-02  2.39024473e+00  0.00000000e+00  4.52165593e-02  6.37315734e-01  2.20912798e-02 
 9.00097946e-02  9.00097946e-02  2.37440557e+00  0.00000000e+00  4.50211187e-02  6.36885277e-01  2.18970917e-02 
 9.05097946e-02  9.05097946e-02  2.35867987e+00  0.00000000e+00  4.48281973e-02  6.36455244e-01  2.17043282e-02 
