 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)       
 9.62570530e+00  9.62570530e+00  6.08393104e-02  6.12762348e-02  1.39583348e-01  4.56010338e-02 
 9.62770530e+00  9.62770530e+00  5.16139514e-02  6.09900512e-02  1.44227905e-01  4.52086384e-02 
 9.62970530e+00  9.62970530e+00  5.82531210e-02  6.07303169e-02  1.49199932e-01  4.48766838e-02 
 9.63170530e+00  9.63170530e+00  4.95671865e-02  6.04937680e-02  1.54564050e-01  4.45286011e-02 
 9.63370530e+00  9.63370530e+00  5.60862207e-02  6.02815595e-02  1.60337273e-01  4.42380132e-02 
 9.63570530e+00  9.63570530e+00  4.78483459e-02  6.00906121e-02  1.66599212e-01  4.39296877e-02 
 9.63770530e+00  9.63770530e+00  5.42625351e-02  5.99222162e-02  1.73380716e-01  4.36763303e-02 
 9.63970530e+00  9.63970530e+00  4.63998431e-02  5.97734488e-02  1.80782828e-01  4.34038798e-02 
 9.64170530e+00  9.64170530e+00  5.27236417e-02  5.96457160e-02  1.88857643e-01  4.31842245e-02 
 9.64370530e+00  9.64370530e+00  4.51771368e-02  5.95362273e-02  1.97737941e-01  4.29443276e-02 
 9.64570530e+00  9.64570530e+00  5.14240552e-02  5.94464890e-02  2.07509417e-01  4.27553529e-02 
 9.64770530e+00  9.64770530e+00  4.41453323e-02  5.93738237e-02  2.18353807e-01  4.25451586e-02 
 9.64970530e+00  9.64970530e+00  5.03279375e-02  5.93198254e-02  2.30411927e-01  4.23842700e-02 
 9.65170530e+00  9.65170530e+00  4.32767879e-02  5.92819136e-02  2.43944777e-01  4.22013237e-02 
 9.65370530e+00  9.65370530e+00  4.94067583e-02  5.92617604e-02  2.59187862e-01  4.20662880e-02 
 9.65570530e+00  9.65570530e+00  4.25493963e-02  5.92568683e-02  2.76538253e-01  4.19084726e-02 
 9.65770530e+00  9.65770530e+00  4.86376027e-02  5.92689801e-02  2.96403927e-01  4.17973641e-02 
 9.65970530e+00  9.65970530e+00  4.19453333e-02  5.92956699e-02  3.19433084e-01  4.16628502e-02 
 9.66170530e+00  9.66170530e+00  4.80019296e-02  5.93387449e-02  3.46372672e-01  4.15740074e-02 
 9.66370530e+00  9.66370530e+00  4.14501313e-02  5.93958414e-02  3.78379392e-01  4.14612137e-02 
 9.66570530e+00  9.66570530e+00  4.74846464e-02  5.94688266e-02  4.16937644e-01  4.13932024e-02 
 9.66770530e+00  9.66770530e+00  4.10519863e-02  5.95553905e-02  4.64369489e-01  4.13007621e-02 
