 time            time            v(OUT_B)        v(OUT_1)        v(OUT_2)        v(OUT_3)        v(OUT_4)       
 3.00560000e-01  3.00560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.02560000e-01  3.02560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.04560000e-01  3.04560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.06560000e-01  3.06560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.08560000e-01  3.08560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.10560000e-01  3.10560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.12560000e-01  3.12560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.14560000e-01  3.14560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.16560000e-01  3.16560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.18560000e-01  3.18560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.20560000e-01  3.20560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.22560000e-01  3.22560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.24560000e-01  3.24560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.26560000e-01  3.26560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.28560000e-01  3.28560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.30560000e-01  3.30560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.32560000e-01  3.32560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.34560000e-01  3.34560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.36560000e-01  3.36560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.38560000e-01  3.38560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.40560000e-01  3.40560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.42560000e-01  3.42560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.44560000e-01  3.44560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.46560000e-01  3.46560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.48560000e-01  3.48560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.50560000e-01  3.50560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.52560000e-01  3.52560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.54560000e-01  3.54560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.56560000e-01  3.56560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.58560000e-01  3.58560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.60560000e-01  3.60560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.62560000e-01  3.62560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.64560000e-01  3.64560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.66560000e-01  3.66560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.68560000e-01  3.68560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.70560000e-01  3.70560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.72560000e-01  3.72560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.74560000e-01  3.74560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.76560000e-01  3.76560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.78560000e-01  3.78560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.80560000e-01  3.80560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.82560000e-01  3.82560000e-01  1.25849676e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.84560000e-01  3.84560000e-01  1.25849676e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.86560000e-01  3.86560000e-01  1.25849676e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.88560000e-01  3.88560000e-01  1.25849676e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.90560000e-01  3.90560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.92560000e-01  3.92560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.94560000e-01  3.94560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.96560000e-01  3.96560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 3.98560000e-01  3.98560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 4.00560000e-01  4.00560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 4.02560000e-01  4.02560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 4.04560000e-01  4.04560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
 4.06560000e-01  4.06560000e-01  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00  1.25849677e+00 
