 time            time            v(N003)        
 7.84560000e-01  7.84560000e-01  1.25849670e+00 
 7.86560000e-01  7.86560000e-01  1.25849670e+00 
 7.88560000e-01  7.88560000e-01  1.25849670e+00 
 7.90560000e-01  7.90560000e-01  1.25849670e+00 
 7.92560000e-01  7.92560000e-01  1.25849670e+00 
 7.94560000e-01  7.94560000e-01  1.25849670e+00 
 7.96560000e-01  7.96560000e-01  1.25849670e+00 
 7.98560000e-01  7.98560000e-01  1.25849670e+00 
 8.00560000e-01  8.00560000e-01  1.25849670e+00 
 8.02560000e-01  8.02560000e-01  1.25849670e+00 
 8.04560000e-01  8.04560000e-01  1.25849670e+00 
 8.06560000e-01  8.06560000e-01  1.25849670e+00 
 8.08560000e-01  8.08560000e-01  1.25849670e+00 
 8.10560000e-01  8.10560000e-01  1.25849670e+00 
 8.12560000e-01  8.12560000e-01  1.25849670e+00 
 8.14560000e-01  8.14560000e-01  1.25849670e+00 
 8.16560000e-01  8.16560000e-01  1.25849670e+00 
 8.18560000e-01  8.18560000e-01  1.25849670e+00 
 8.20560000e-01  8.20560000e-01  1.25849670e+00 
 8.22560000e-01  8.22560000e-01  1.25849670e+00 
 8.24560000e-01  8.24560000e-01  1.25849670e+00 
 8.26560000e-01  8.26560000e-01  1.25849670e+00 
 8.28560000e-01  8.28560000e-01  1.25849670e+00 
 8.30560000e-01  8.30560000e-01  1.25849670e+00 
 8.32560000e-01  8.32560000e-01  1.25849670e+00 
 8.34560000e-01  8.34560000e-01  1.25849670e+00 
 8.36560000e-01  8.36560000e-01  1.25849670e+00 
 8.38560000e-01  8.38560000e-01  1.25849670e+00 
 8.40560000e-01  8.40560000e-01  1.25849670e+00 
 8.42560000e-01  8.42560000e-01  1.25849670e+00 
 8.44560000e-01  8.44560000e-01  1.25849670e+00 
 8.46560000e-01  8.46560000e-01  1.25849670e+00 
 8.48560000e-01  8.48560000e-01  1.25849670e+00 
 8.50560000e-01  8.50560000e-01  1.25849670e+00 
 8.52560000e-01  8.52560000e-01  1.25849670e+00 
 8.54560000e-01  8.54560000e-01  1.25849670e+00 
 8.56560000e-01  8.56560000e-01  1.25849670e+00 
 8.58560000e-01  8.58560000e-01  1.25849670e+00 
 8.60560000e-01  8.60560000e-01  1.25849670e+00 
 8.62560000e-01  8.62560000e-01  1.25849670e+00 
 8.64560000e-01  8.64560000e-01  1.25849670e+00 
 8.66560000e-01  8.66560000e-01  1.25849670e+00 
 8.68560000e-01  8.68560000e-01  1.25849670e+00 
 8.70560000e-01  8.70560000e-01  1.25849670e+00 
 8.72560000e-01  8.72560000e-01  1.25849670e+00 
 8.74560000e-01  8.74560000e-01  1.25849670e+00 
 8.76560000e-01  8.76560000e-01  1.25849670e+00 
 8.78560000e-01  8.78560000e-01  1.25849670e+00 
 8.80560000e-01  8.80560000e-01  1.25849669e+00 
 8.82560000e-01  8.82560000e-01  1.25849669e+00 
 8.84560000e-01  8.84560000e-01  1.25849669e+00 
 8.86560000e-01  8.86560000e-01  1.25849669e+00 
 8.88560000e-01  8.88560000e-01  1.25849669e+00 
 8.90560000e-01  8.90560000e-01  1.25849669e+00 
 8.92560000e-01  8.92560000e-01  1.25849669e+00 
 8.94560000e-01  8.94560000e-01  1.25849669e+00 
 8.96560000e-01  8.96560000e-01  1.25849669e+00 
 8.98560000e-01  8.98560000e-01  1.25849669e+00 
 9.00560000e-01  9.00560000e-01  1.25849669e+00 
 9.02560000e-01  9.02560000e-01  1.25849669e+00 
 9.04560000e-01  9.04560000e-01  1.25849669e+00 
 9.06560000e-01  9.06560000e-01  1.25849669e+00 
 9.08560000e-01  9.08560000e-01  1.25849669e+00 
 9.10560000e-01  9.10560000e-01  1.25849668e+00 
 9.12560000e-01  9.12560000e-01  1.25849668e+00 
 9.14560000e-01  9.14560000e-01  1.25849668e+00 
 9.16560000e-01  9.16560000e-01  1.25849668e+00 
 9.18560000e-01  9.18560000e-01  1.25849668e+00 
 9.20560000e-01  9.20560000e-01  1.25849668e+00 
 9.22560000e-01  9.22560000e-01  1.25849668e+00 
 9.24560000e-01  9.24560000e-01  1.25849668e+00 
 9.26560000e-01  9.26560000e-01  1.25849668e+00 
 9.28560000e-01  9.28560000e-01  1.25849668e+00 
 9.30560000e-01  9.30560000e-01  1.25849668e+00 
 9.32560000e-01  9.32560000e-01  1.25849668e+00 
 9.34560000e-01  9.34560000e-01  1.25849667e+00 
 9.36560000e-01  9.36560000e-01  1.25849667e+00 
 9.38560000e-01  9.38560000e-01  1.25849667e+00 
 9.40560000e-01  9.40560000e-01  1.25849667e+00 
 9.42560000e-01  9.42560000e-01  1.25849667e+00 
 9.44560000e-01  9.44560000e-01  1.25849667e+00 
