 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         @dled12_1[id]  
 5.32500000e-02  5.32500000e-02  1.95221359e+00  0.00000000e+00  3.30709494e-02  5.89033608e-01  1.00310045e-02 -4.02866883e-14 
 5.37500000e-02  5.37500000e-02  1.94148086e+00  0.00000000e+00  3.29936314e-02  5.88754926e-01  9.95407805e-03 -4.02010349e-14 
 5.42500000e-02  5.42500000e-02  1.93080930e+00  0.00000000e+00  3.29167702e-02  5.88476328e-01  9.87760113e-03 -4.01158627e-14 
 5.47500000e-02  5.47500000e-02  1.92019857e+00  0.00000000e+00  3.28403485e-02  5.88197815e-01  9.80157117e-03 -4.00311531e-14 
 5.52500000e-02  5.52500000e-02  1.90964832e+00  0.00000000e+00  3.27643785e-02  5.87919376e-01  9.72598569e-03 -3.99469198e-14 
 5.57500000e-02  5.57500000e-02  1.89915820e+00  0.00000000e+00  3.26888429e-02  5.87641009e-01  9.65084216e-03 -3.98631441e-14 
 5.62500000e-02  5.62500000e-02  1.88872786e+00  0.00000000e+00  3.26137541e-02  5.87362705e-01  9.57613812e-03 -3.97798401e-14 
 5.67500000e-02  5.67500000e-02  1.87835698e+00  0.00000000e+00  3.25390946e-02  5.87084462e-01  9.50187106e-03 -3.96969887e-14 
 5.72500000e-02  5.72500000e-02  1.86804519e+00  0.00000000e+00  3.24648772e-02  5.86806269e-01  9.42803857e-03 -3.96146043e-14 
 5.77500000e-02  5.77500000e-02  1.85779218e+00  0.00000000e+00  3.23910839e-02  5.86528125e-01  9.35463817e-03 -3.95326676e-14 
 5.82500000e-02  5.82500000e-02  1.84759760e+00  0.00000000e+00  3.23177280e-02  5.86250019e-01  9.28166746e-03 -3.94511933e-14 
 5.87500000e-02  5.87500000e-02  1.83746111e+00  0.00000000e+00  3.22447913e-02  5.85971950e-01  9.20912399e-03 -3.93701618e-14 
 5.92500000e-02  5.92500000e-02  1.82738240e+00  0.00000000e+00  3.21722871e-02  5.85693906e-01  9.13700540e-03 -3.92895882e-14 
 5.97500000e-02  5.97500000e-02  1.81736111e+00  0.00000000e+00  3.21001973e-02  5.85415887e-01  9.06530928e-03 -3.92094527e-14 
 6.02500000e-02  6.02500000e-02  1.80739694e+00  0.00000000e+00  3.20285354e-02  5.85137881e-01  8.99403327e-03 -3.91297705e-14 
 6.07500000e-02  6.07500000e-02  1.79748954e+00  0.00000000e+00  3.19572830e-02  5.84859888e-01  8.92317500e-03 -3.90505215e-14 
 6.12500000e-02  6.12500000e-02  1.78763860e+00  0.00000000e+00  3.18864538e-02  5.84581895e-01  8.85273215e-03 -3.89717215e-14 
 6.17500000e-02  6.17500000e-02  1.77784379e+00  0.00000000e+00  3.18160294e-02  5.84303903e-01  8.78270236e-03 -3.88933501e-14 
 6.22500000e-02  6.22500000e-02  1.76810480e+00  0.00000000e+00  3.17460236e-02  5.84025898e-01  8.71308334e-03 -3.88154231e-14 
