 time            time            v(N001)         v(N002)         v(N003)         v(N004)         v(N005)         v(N006)         v(N007)         v(N008)         v(N009)         v(N010)         v(N011)        
 8.50388691e-04  8.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.10833296e-02 -1.13461652e-02 -3.26642120e-01 -1.54324331e-02  4.17098856e-03 -3.26939243e-01 -1.61515817e-02 
 8.60388691e-04  8.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.03385614e-02 -1.06050437e-02 -3.12547391e-01 -1.46945328e-02  4.17030009e-03 -3.12869343e-01 -1.53790844e-02 
 8.70388691e-04  8.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -9.53612935e-03 -9.80613668e-03 -2.97355343e-01 -1.38986169e-02  4.16964666e-03 -2.97700806e-01 -1.45458928e-02 
 8.80388691e-04  8.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -8.67920034e-03 -8.95258401e-03 -2.81125841e-01 -1.30478269e-02  4.16903081e-03 -2.81493499e-01 -1.36552953e-02 
 8.90388691e-04  8.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -7.77115572e-03 -8.04776684e-03 -2.63923018e-01 -1.21455201e-02  4.16845495e-03 -2.64311373e-01 -1.27108066e-02 
 9.00388691e-04  9.00388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -6.81557926e-03 -7.09524312e-03 -2.45814674e-01 -1.11952579e-02  4.16792132e-03 -2.46222240e-01 -1.17161541e-02 
 9.10388691e-04  9.10388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -5.81624162e-03 -6.09878444e-03 -2.26872356e-01 -1.02007901e-02  4.16743202e-03 -2.27297479e-01 -1.06752633e-02 
 9.20388691e-04  9.20388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -4.77708685e-03 -5.06231062e-03 -2.07170731e-01 -9.16604185e-03  4.16698894e-03 -2.07611779e-01 -9.59224214e-03 
 9.30388691e-04  9.30388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -3.70221546e-03 -3.98992437e-03 -1.86787632e-01 -8.09509650e-03  4.16659381e-03 -1.87242818e-01 -8.47136477e-03 
 9.40388691e-04  9.40388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -2.59586960e-03 -2.88584533e-03 -1.65803413e-01 -6.99218091e-03  4.16624816e-03 -1.66270987e-01 -7.31705479e-03 
 9.50388691e-04  9.50388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -1.46241496e-03 -1.75444285e-03 -1.44300968e-01 -5.86164748e-03  4.16595333e-03 -1.44779040e-01 -6.13386775e-03 
 9.60388691e-04  9.60388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01 -3.06324881e-04 -6.00169660e-04 -1.22365071e-01 -4.70795822e-03  4.16571046e-03 -1.22851798e-01 -4.92647312e-03 
 9.70388691e-04  9.70388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  8.67838628e-04  5.72406966e-04 -1.00082369e-01 -3.53566592e-03  4.16552048e-03 -1.00575786e-01 -3.69963596e-03 
 9.80388691e-04  9.80388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  2.05544157e-03  1.75867165e-03 -7.75407166e-02 -2.34939741e-03  4.16538412e-03 -7.80389212e-02 -2.45819803e-03 
 9.90388691e-04  9.90388691e-04 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  3.25179756e-03  2.95393101e-03 -5.48291510e-02 -1.15383403e-03  4.16530189e-03 -5.53301331e-02 -1.20705871e-03 
 1.00038869e-03  1.00038869e-03 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  4.45218502e-03  4.15347999e-03 -3.20372204e-02  4.63055393e-05  4.16527409e-03 -3.25390461e-02  4.88443227e-05 
 1.01038869e-03  1.01038869e-03 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  5.65186711e-03  5.35257296e-03 -9.25494818e-03  1.24628521e-03  4.16530081e-03 -9.75559436e-03  1.30455459e-03 
 1.02038869e-03  1.02038869e-03 -2.49999300e+01 -2.50000000e+01  2.49999300e+01  2.50000000e+01  6.84610912e-03  6.54648956e-03  1.34278370e-02  2.44136887e-03  4.16538191e-03  1.29303037e-02  2.55511637e-03 
