time,v(N001),v(N002),v(N003),v(N004),v(N005),v(N006),v(N007),@dled12_1[id],@dled12_2[id]
0.205056003,5.0,4.27602136,4.27394763,-3.48212041,0.407049627,0.961648175,0.0820040176,0.014329525,0.0155257171
0.205056084,5.0,4.27575129,4.2739429,-3.48288438,0.366168409,0.920741881,0.0812333454,0.0144799366,0.0155285539
0.205056186,5.0,4.27603267,4.27388704,-3.49199617,0.408751988,0.963294327,0.0721132072,0.0143232619,0.0155621255
0.205056389,5.0,4.27576089,4.27390387,-3.48922974,0.367629425,0.922109496,0.0748629576,0.014474561,0.0155520034
0.205056639,5.0,4.2760372,4.27386569,-3.49544638,0.409655964,0.964059489,0.0686257884,0.0143207535,0.0155749795
0.205057009,5.0,4.27576229,4.27389818,-3.49010521,0.368061854,0.922352053,0.0739365738,0.0144737764,0.0155554256
0.205057507,5.0,4.27603903,4.27386496,-3.4954946,0.409932117,0.964069755,0.0685062636,0.01431974,0.0155754154
0.205058503,5.0,4.27576523,4.27389828,-3.48996669,0.368506984,0.922339504,0.0739523618,0.014472132,0.0155553682
0.205060496,5.0,4.27604481,4.27386497,-3.49524832,0.41080616,0.964028528,0.0685070819,0.0143165411,0.0155754125
0.205064481,5.0,4.27577687,4.27389829,-3.48947422,0.370267211,0.922269536,0.0739539127,0.0144656214,0.0155553624
0.20507245,5.0,4.27606804,4.27386499,-3.49426248,0.414318912,0.963882258,0.0685111425,0.0143036878,0.0155753975
0.205088389,5.0,4.27582334,4.27389833,-3.48750332,0.377290679,0.921980435,0.0739614469,0.014439652,0.0155553347
0.205120267,5.0,4.27616095,4.27386509,-3.49032106,0.428343184,0.963303274,0.0685265675,0.0142524016,0.0155753407
0.205184023,5.0,4.27600902,4.27389852,-3.4796236,0.4052561,0.920826628,0.0739922222,0.0143363683,0.0155552215
0.205311536,5.0,4.27653173,4.27386547,-3.47457332,0.483939687,0.961008566,0.0685885663,0.0140495452,0.0155751123
0.205566561,5.0,4.27674827,4.27389929,-3.44817518,0.515127993,0.916290154,0.0741176517,0.0139324179,0.0155547601
0.206076611,5.0,4.27800146,4.27386704,-3.41186438,0.698510561,0.95214189,0.0688449784,0.0132734661,0.0155741679
0.207076611,5.0,4.27961508,4.27390252,-3.32513038,0.919362239,0.899560013,0.0746457355,0.0124706827,0.0155528175
0.208076611,5.0,4.2818414,4.27387173,-3.25001378,1.20457944,0.931132036,0.0696117213,0.0114421663,0.0155713444
0.209076611,5.0,4.28347126,4.27390792,-3.16472253,1.38876117,0.880011481,0.075528044,0.0107433959,0.0155495703
0.210076611,5.0,4.28574454,4.27387743,-3.09110015,1.63997345,0.912922699,0.0705439298,0.00983945786,0.0155679126
0.211076611,5.0,4.28732181,4.27391415,-3.00725379,1.79267333,0.863084386,0.0765452606,0.00925736737,0.0155458264
0.212076611,5.0,4.28964511,4.27388388,-2.93510879,2.01467095,0.89715362,0.071599518,0.00846208282,0.0155640268
0.213076611,5.0,4.29116125,4.27392107,-2.85268942,2.1403266,0.848427521,0.0776755794,0.00798031235,0.015541666
0.214076611,5.0,4.29354244,4.27389097,-2.78200343,2.33722361,0.883498152,0.0727585992,0.0072784295,0.0155597601
0.215076611,5.0,4.29498803,4.27392856,-2.70099382,2.43964597,0.835736874,0.0788987923,0.00688279623,0.0155371637
0.216076611,5.0,4.29743617,4.27389858,-2.63174892,2.61497611,0.871673706,0.0740008349,0.0062612142,0.0155551873
0.217076611,5.0,4.29880039,4.2739365,-2.55213247,2.69743795,0.824749316,0.0801942703,0.00593953006,0.0155323954
0.218076611,5.0,4.30132586,4.27390656,-2.48431108,2.8542366,0.861435613,0.0753055835,0.00538700333,0.0155503844
0.219076611,5.0,4.30259632,4.27394476,-2.40607159,2.91954845,0.815236932,0.0815412957,0.00512879295,0.0155274372
0.220076611,5.0,4.30521099,4.27391481,-2.33965632,3.06042303,0.852571886,0.076652263,0.00463567042,0.0155454273
0.221076611,5.0,4.30637352,4.27395321,-2.26277776,3.11099845,0.807002189,0.0829194506,0.00443192809,0.0155223644
0.222076611,5.0,4.30909092,4.27392319,-2.19775127,3.23818883,0.844898757,0.0780207523,0.00398992902,0.0155403899
0.223076611,5.0,4.31012937,4.27396174,-2.12221751,3.27610049,0.799873806,0.0843090317,0.00383290981,0.0155172495
0.224076611,5.0,4.31296487,4.27393159,-2.05856229,3.39153092,0.838256853,0.0793918067,0.00343493149,0.0155353431
0.225076611,5.0,4.31386092,4.27397022,-1.98435685,3.4185587,0.793703222,0.0856914635,0.00331797177,0.0155121609
0.226076611,5.0,4.31683192,4.2739399,-1.92205514,3.52388239,0.832507934,0.0807474639,0.00295792445,0.015530353
0.227076611,5.0,4.3175648,4.27397856,-1.84916097,3.54155477,0.788361565,0.0870496873,0.00287528754,0.0155071613
0.228076611,5.0,4.3206909,4.27394802,-1.78819458,3.63819213,0.82753208,0.0820714143,0.00254795283,0.0155254797
0.229076611,5.0,4.32123725,4.27398666,-1.71659389,3.64782162,0.783737043,0.0883685014,0.0024946964,0.0155023068
0.230076611,5.0,4.32454044,4.27395586,-1.65694413,3.73699318,0.823225273,0.0833493143,0.00219560565,0.015520776
0.231076611,5.0,4.32487405,4.27399443,-1.58661819,3.73970685,0.779732693,0.0896348328,0.0021674678,0.0154976454
0.232076611,5.0,4.32837884,4.27396334,-1.52826579,3.82246139,0.819497302,0.0845690232,0.00189279783,0.0155162865
0.233076611,5.0,4.32847054,4.27400183,-1.45919487,3.81922699,0.77626443,0.0908379227,0.0018860991,0.0154932168
0.234076611,5.0,4.33220407,4.27397041,-1.40212,3.89646583,0.816269956,0.0857207498,0.00163258261,0.0155120472
0.235076611,5.0,4.33202159,4.27400878,-1.33428332,3.88811425,0.773259361,0.0919694174,0.00164414197,0.0154890517
0.236076611,5.0,4.33601371,4.27397702,-1.27846555,3.96061201,0.813475446,0.0867971032,0.00140899053,0.0155080854
0.237076611,5.0,4.33552163,4.27401526,-1.2118413,3.94785656,0.770654314,0.0930233604,0.00143605318,0.0154851721
0.238076611,5.0,4.33980484,4.27398313,-1.15725972,4.01627899,0.811055038,0.0877930467,0.00121689105,0.0155044197
0.239076611,5.0,4.33896471,4.27402124,-1.09182513,3.99973194,0.768394565,0.0939960922,0.0012570666,0.0154815914
0.240076611,5.0,4.34357404,4.27398874,-1.03845838,4.06465125,0.808957863,0.0887057661,0.00105187364,0.0155010603
0.241076611,5.0,4.34234452,4.27402672,-0.974189849,4.04483806,0.766432729,0.0948860692,0.00110308326,0.0154783154
0.242076611,5.0,4.3473173,4.27399383,-0.922016277,4.10674606,0.807139877,0.0895344638,0.000910145618,0.0154980102
0.243076611,5.0,4.34565455,4.27403168,-0.858889507,4.0841176,0.764727794,0.0956936182,0.000970576988,0.0154753428
0.244076611,5.0,4.35103003,4.27399841,-0.807887273,4.143437,0.805562959,0.0902801015,0.000788444353,0.0154952658
0.245076611,5.0,4.3488882,4.27403616,-0.745877471,4.11838001,0.763244288,0.0964206498,0.000856513478,0.0154726665
0.246076611,5.0,4.35470697,4.27400249,-0.696024662,4.17547409,0.804194124,0.0909451087,0.000683961891,0.0154928182
0.247076611,5.0,4.35203896,4.27404015,-0.635106731,4.14832024,0.761951548,0.0970703492,0.000758280971,0.015470275
0.248076611,5.0,4.35834232,4.2740061,-0.586381481,4.20350118,0.803004839,0.0915330809,0.000594280288,0.0154906542
0.249076611,5.0,4.35510063,4.2740437,-0.526530226,4.17453484,0.760823091,0.0976468664,0.000673630906,0.0154681528
0.250076611,5.0,4.3619297,4.27400927,-0.478910807,4.22807085,0.80197043,0.0920484827,0.000517316225,0.0154887574
0.251076611,5.0,4.35806754,4.27404683,-0.42010113,4.19753581,0.759836066,0.098155022,0.000600627239,0.0154662823
0.252076611,5.0,4.36546233,4.27401202,-0.373566029,4.24965728,0.801069565,0.0924963722,0.000451273688,0.015487109
0.253076611,5.0,4.36093476,4.27404957,-0.315773113,4.21776249,0.758970777,0.098600042,0.000537603206,0.0154646442
0.254076611,5.0,4.3689332,4.2740144,-0.270301083,4.26866726,0.800283811,0.0928821548,0.00039460364,0.0154856893
0.255076611,5.0,4.36369834,4.27405195,-0.213500559,4.23559185,0.758210274,0.0989873288,0.000483124483,0.0154632186
0.256076611,5.0,4.37233523,4.27401642,-0.169070653,4.28544974,0.799597245,0.0932113743,0.000345969752,0.0154844777
0.257076611,5.0,4.36635541,4.27405402,-0.113238737,4.25134732,0.757539984,0.0993222747,0.000435957796,0.0154619858
